Price,Address,Property Type,Beds,Baths,Car,Inspection Time,Area,Agent,RE_URL,Status
"$530,000-$560,000","1 Verdant Drive, Donnybrook",,3,2,2,,,Daniel Di Battista,https://www.realestate.com.au/property-house-vic-donnybrook-147045764,Unchanged
"$590,000 - $649,000","20 Tivoli Way, Mickleham",,4,2,2,Inspection Sat 25 Jan 2:30 pm,262m²,Tim Romeril,https://www.realestate.com.au/property-house-vic-mickleham-146925816,Unchanged
,"92 Farm Crescent, Donnybrook",,4,3,2,Inspection Sat 25 Jan 11:00 am,,Waseem Gethya,https://www.realestate.com.au/property-house-vic-donnybrook-146925764,Unchanged
"$640,000 - $680,000","5 Beaconsfield Dr, Mickleham",,4,2,2,,,Jay Singh,https://www.realestate.com.au/property-house-vic-mickleham-144749248,Unchanged
,"32 Loudon Circuit, Craigieburn",,3,2,2,,312m²,Robin Dhalla,https://www.realestate.com.au/property-house-vic-craigieburn-147045268,Unchanged
,"31 Thompson Crescent, Roxburgh Park",,5,2,2,Inspection tomorrow 5:30 pm,540m²,Melissa Abela,https://www.realestate.com.au/property-house-vic-roxburgh+park-146925540,Deleted
"$600,000 - $650,000","16 Punchbowl Road, Kalkallo",,4,2,2,Inspection Sat 25 Jan 10:00 am,,Jagjeet Tiwana,https://www.realestate.com.au/property-house-vic-kalkallo-146573484,Unchanged
"$640,000 - $670,000","11 Decumbens Way, Donnybrook",,4,2,2,Inspection Sat 25 Jan 1:00 pm,338m²,Jay Virk,https://www.realestate.com.au/property-house-vic-donnybrook-147044196,Unchanged
,"6 Glideriter Road, Donnybrook",,4,2,2,Inspection Sat 25 Jan 2:00 pm,319m²,Mandeep Gagain,https://www.realestate.com.au/property-house-vic-donnybrook-144745940,Unchanged
"$630,000 - $660,000","9 Onoway Approach, Mickleham",,4,2,2,,375m²,Jessica Kaur,https://www.realestate.com.au/property-house-vic-mickleham-145600428,Unchanged
"$650,000 - $690,000","20 Ardsley Circuit, Craigieburn",,4,2,2,Inspection Sat 25 Jan 9:30 am,571m²,Domenic Campisi,https://www.realestate.com.au/property-house-vic-craigieburn-147042240,Deleted
"ESR: $570,000 - $620,000","875 Edgars Road, Epping",,4,2,2,Inspection Sat 25 Jan 1:00 pm,322m²,Jay Moxon,https://www.realestate.com.au/property-house-vic-epping-147041972,Unchanged
,"7 Zeal Way, Craigieburn",,4,2,2,Inspection Sat 25 Jan 2:30 pm,,Samira Haidary,https://www.realestate.com.au/property-house-vic-craigieburn-146119340,Unchanged
"$640,000 - $680,000","15 Cobungra Grove, Wollert",,5,3,2,Inspection Sat 25 Jan 1:30 pm,,Walter Orlandi,https://www.realestate.com.au/property-house-vic-wollert-145126088,Unchanged
"Auction Onsite 2nd Feb 1:30 PM $450,000-$490,000","43 Curbridge Drive, Donnybrook",,3,2,2,Inspection tomorrow 6:00 pm,,Vineet Wadehra,https://www.realestate.com.au/property-house-vic-donnybrook-146921992,Deleted
"$640,000 - $665,000","14 Tungsten Drive, Kalkallo",,4,2,2,Inspection tomorrow 7:00 pm,,Love Sharma,https://www.realestate.com.au/property-house-vic-kalkallo-146921912,Unchanged
"$590,000 - 640,000","11 Cerulean Street, Wollert",,4,3,2,Inspection Sat 25 Jan 2:00 pm,,Samaira Ahuja,https://www.realestate.com.au/property-house-vic-wollert-146921908,Deleted
,"20 Mealie Avenue, Mickleham",,4,2,2,,,Ali Alsalemy,https://www.realestate.com.au/property-house-vic-mickleham-146766056,Unchanged
"ESR: $620,000 - $680,000","63 Fortress Road, Doreen",,3,2,1,Inspection Sat 25 Jan 10:00 am,,Luke El Moussalli,https://www.realestate.com.au/property-house-vic-doreen-147038480,Unchanged
,"6 Galileo Place, Greenvale",,4,3,2,Inspection Tue 28 Jan 6:00 pm,,Noora Duqman,https://www.realestate.com.au/property-house-vic-greenvale-146116176,Unchanged
,"5 Chilworth Street, Donnybrook",,3,2,1,,,Moe Al-mnahi,https://www.realestate.com.au/property-house-vic-donnybrook-144492440,Unchanged
,"15 Lowline Way, Wollert",,4,3,2,Inspection tomorrow 5:00 pm,,Manish Sharma,https://www.realestate.com.au/property-house-vic-wollert-146907576,Deleted
,"2 Azure Road, Wollert",,4,2,2,Inspection Sat 25 Jan 2:30 pm,,Manish Sharma,https://www.realestate.com.au/property-house-vic-wollert-146973256,Unchanged
,"8 Azure Road, Wollert",,3,2,1,Inspection Sat 25 Jan 2:30 pm,,Manish Sharma,https://www.realestate.com.au/property-house-vic-wollert-146976656,Unchanged
,"2 Edgedell Avenue, Kalkallo",,4,2,2,Inspection Sat 25 Jan 11:45 am,501m²,Prashant Battu,https://www.realestate.com.au/property-house-vic-kalkallo-146969304,Deleted
,"32 Valetta Street, Mickleham",,4,2,2,Inspection Sat 25 Jan 12:30 pm,,Prashant Battu,https://www.realestate.com.au/property-house-vic-mickleham-146968856,Deleted
,"30 Valetta Street, Mickleham",,4,2,2,Inspection Sat 25 Jan 12:30 pm,,Prashant Battu,https://www.realestate.com.au/property-house-vic-mickleham-146968524,Deleted
,"11 Hackney Way, Kalkallo",,4,2,2,Inspection Sat 25 Jan 12:00 pm,425m²,Arvin Nagra,https://www.realestate.com.au/property-house-vic-kalkallo-145972396,Unchanged
"$590,000 - $630,000","77 Bridgehaven Drive, Craigieburn",,4,2,2,Inspection Sat 25 Jan 11:00 am,,Ramazan Yavuz,https://www.realestate.com.au/property-house-vic-craigieburn-147035156,Unchanged
,"Address available on request, Donnybrook",,3,2,1,,,Ola Alsalemy,https://www.realestate.com.au/property-house-vic-donnybrook-141361616,Unchanged
,"11 Nasturium Street, Kalkallo",,4,2,2,Inspection tomorrow 7:00 pm,,Arvin Nagra,https://www.realestate.com.au/property-house-vic-kalkallo-146703928,Unchanged
"$545,000-$595,000","11 Melaleuca Drive, Meadow Heights",,3,2,2,Inspection Sat 25 Jan 1:45 pm,550m²,Erhan Kalistu,https://www.realestate.com.au/property-house-vic-meadow+heights-147034348,Unchanged
"$470,000 to $500,000","20 Fashion Parade, Broadmeadows",,3,2,4,Inspection tomorrow 5:30 pm,610m²,Nick Fernandez,https://www.realestate.com.au/property-house-vic-broadmeadows-146895144,Deleted
"$650,000 - $715,000","5 Risdon Chase, Wollert",,4,2,2,Inspection Sat 25 Jan 11:30 am,400m²,Hayden Assaad,https://www.realestate.com.au/property-house-vic-wollert-147034208,Deleted
,"37 Times Street, Kalkallo",,4,2,2,Inspection tomorrow 5:15 pm,,Abeer Al-hatab,https://www.realestate.com.au/property-house-vic-kalkallo-146562032,Unchanged
,"30 Skye Walk, Wollert",,3,2,2,Inspection Sat 25 Jan 2:00 pm,,Rashna Luitel,https://www.realestate.com.au/property-house-vic-wollert-146561992,Unchanged
"$630,000","5 Hallifax Walk, Epping",,3,2,3,,,Bic Nguyen,https://www.realestate.com.au/property-house-vic-epping-146256640,Deleted
"$599,000 - $649,000","28 Eremaea Road, Craigieburn",,3,2,2,,,Gee Mahna,https://www.realestate.com.au/property-house-vic-craigieburn-144738568,Unchanged
"$635,000 - $655,000","38 Ballina Crescent, Donnybrook",,4,2,2,Inspection tomorrow 5:00 pm,,Love Sharma,https://www.realestate.com.au/property-house-vic-donnybrook-146772360,Unchanged
"$570,000 - $590,000","10 Anglesea Drive, Wollert",,3,2,1,Inspection Sat 25 Jan 1:00 pm,,Sherry Singh,https://www.realestate.com.au/property-house-vic-wollert-146702712,Deleted
"$630,000 - $660,000","Address available on request, Mickleham",,4,2,1,,,Karam Virk,https://www.realestate.com.au/property-house-vic-mickleham-144485896,Unchanged
"$500,000 - $550,000","217 Windrock Avenue, Craigieburn",,3,2,2,Inspection tomorrow 6:00 pm,,Inas Sora,https://www.realestate.com.au/property-house-vic-craigieburn-144485944,Unchanged
"$600,000 - $640,000","5 Northall Road, Mickleham",,4,2,2,,392m²,Adrian Prestileo,https://www.realestate.com.au/property-house-vic-mickleham-146895148,Deleted
,"13 Xenon Road, Kalkallo",,4,2,1,Inspection Sat 25 Jan 12:00 pm,,Mandeep Gagain,https://www.realestate.com.au/property-house-vic-kalkallo-144735316,Unchanged
,"5A Rocklands Rise, Meadow Heights",,3,2,2,,,Michael Abbas,https://www.realestate.com.au/property-house-vic-meadow+heights-146106260,Unchanged
,"7 Thyridia Street, Mickleham",,5,3,2,,,Ali Alsalemy,https://www.realestate.com.au/property-house-vic-mickleham-146407840,Unchanged
"$600,000 - $650,000","2 Silkwood Lane, Craigieburn",,4,2,2,Inspection tomorrow 5:30 pm,,Kristie Davies,https://www.realestate.com.au/property-house-vic-craigieburn-147030408,Deleted
,"29 Eastside Boulevard, Donnybrook",,4,2,2,Inspection tomorrow 6:00 pm,350m²,Arvin Nagra,https://www.realestate.com.au/property-house-vic-donnybrook-146699936,Unchanged
"$650,000-$690,000","21 Bonang Drive, Doreen",,3,2,2,,375m²,Aaron Geary,https://www.realestate.com.au/property-house-vic-doreen-146915012,Deleted
,"3 Countess Circuit, Wollert",,4,2,2,,313m²,Rishi Railowal,https://www.realestate.com.au/property-house-vic-wollert-146556708,Deleted
"$600,000 - $660,000","21 Statesman Avenue, Roxburgh Park",,4,2,2,Inspection Sat 25 Jan 11:30 am,480m²,Tim Romeril,https://www.realestate.com.au/property-house-vic-roxburgh+park-147029560,Unchanged
,"12 Molesworth Crescent, Donnybrook",,4,2,2,Inspection Sat 25 Jan 12:45 pm,371m²,Arvin Nagra,https://www.realestate.com.au/property-house-vic-donnybrook-145589060,Deleted
,"14 Serenade Street, Donnybrook",,3,2,1,,,Mandeep Sekhon,https://www.realestate.com.au/property-house-vic-donnybrook-146555804,Unchanged
"$580,000 - $630,000","33 Sunnybrae Drive, Mernda",,4,2,2,Inspection tomorrow 5:00 pm,389m²,Chloe Topouzis,https://www.realestate.com.au/property-house-vic-mernda-146914076,Deleted
"$550,000 - $570,000","3 Mitford Crescent, Craigieburn",,3,2,2,,676m²,Nick Fernandez,https://www.realestate.com.au/property-house-vic-craigieburn-146895188,Deleted
"$550,000 - $570,000","Address available on request, Donnybrook",,3,2,1,,,Sunil Gandham,https://www.realestate.com.au/property-house-vic-donnybrook-143611648,Unchanged
"$620,000 - $680,000","103 Arnaud Loop, Wollert",,4,2,2,Inspection Sat 25 Jan 1:30 pm,375m²,Abraham Solomon,https://www.realestate.com.au/property-house-vic-wollert-146913332,Unchanged
"$570,000 - $610,000","12  Bunting Crescent, Kalkallo",,4,2,2,Inspection tomorrow 6:10 pm,,Domenic Campisi,https://www.realestate.com.au/property-house-vic-kalkallo-146913204,Unchanged
"ESR:$560,000 - $610,000","16 Etherington Drive, Mernda",,3,2,1,Inspection Sat 25 Jan 1:15 pm,,Phil Di Battista,https://www.realestate.com.au/property-house-vic-mernda-146954912,Unchanged
"ESR: $490,000 - $530,000","17 Tooten Road, Wollert",,3,2,1,Inspection Sat 25 Jan 11:00 am,,Phil Di Battista,https://www.realestate.com.au/property-house-vic-wollert-147027000,Unchanged
"$620,000-$650,000","19 Malmsbury Drive, Meadow Heights",,4,2,1,Inspection tomorrow 6:00 pm,537m²,Amin Halabi,https://www.realestate.com.au/property-house-vic-meadow+heights-146911940,Deleted
"$500,000 - $550,000","10 Laurina Street, Kalkallo",,3,2,2,,213m²,Hayden Assaad,https://www.realestate.com.au/property-house-vic-kalkallo-146911848,Unchanged
,"7 Mealie Avenue, Mickleham",,4,2,2,Inspection Sat 25 Jan 1:00 pm,,Ola Alsalemy,https://www.realestate.com.au/property-house-vic-mickleham-146550144,Unchanged
,"44 Cottonwood Drive, Wollert",,4,2,1,,,Om Minhas,https://www.realestate.com.au/property-house-vic-wollert-145844976,Unchanged
"$600,000 - $660,000","23 Laxdale Grove, Mickleham",,4,2,2,,,Mickey (Sween) Arya,https://www.realestate.com.au/property-house-vic-mickleham-146244376,Unchanged
$600k - $660k,"7 Gervase Avenue, Glenroy",,3,2,2,,215m²,Claudio Cuomo,https://www.realestate.com.au/property-house-vic-glenroy-147024052,Unchanged
,"Address available on request, Donnybrook",,4,2,2,,,Manu Kumar,https://www.realestate.com.au/property-house-vic-donnybrook-141613916,Unchanged
,"18 Rosmead Street,, Craigieburn",,3,2,1,,,Moe Al-mnahi,https://www.realestate.com.au/property-house-vic-craigieburn-146547028,Unchanged
"$640,000 - $675,000","41 HUNTINGTOWER AVE, Mickleham",,4,2,2,,262m²,Hammy,https://www.realestate.com.au/property-house-vic-mickleham-145666256,Deleted
"$590,000 - $620,000","4 Madura Promenade, Mickleham",,4,2,1,,,Adrian Prestileo,https://www.realestate.com.au/property-house-vic-mickleham-146895184,Deleted
"$500,000 - $550,000","91 Lemonwood Drive, Greenvale",,3,2,1,Inspection tomorrow 5:30 pm,,Jamee Favorito,https://www.realestate.com.au/property-house-vic-greenvale-147021112,Deleted
"$550,000 to $590,000","8 Oxygen Street., Kalkallo",,3,2,1,Inspection Sat 25 Jan 2:30 pm,,Param Singh,https://www.realestate.com.au/property-house-vic-kalkallo-146689088,Unchanged
,"3 Bentons Way, Mickleham",,4,2,2,Inspection Sat 25 Jan 11:30 am,,Jayant Poonia,https://www.realestate.com.au/property-house-vic-mickleham-146689012,Unchanged
,"4 Yasuda Way, Kalkallo",,4,2,1,,,Jayant Poonia,https://www.realestate.com.au/property-house-vic-kalkallo-146540516,Unchanged
"$590,000 to $635,000","13 Dianella Avenue, Kalkallo",,4,2,2,,350m²,Prashant Battu,https://www.realestate.com.au/property-house-vic-kalkallo-146389864,Unchanged
,"Address available on request, Donnybrook",,4,2,1,,,Harry Banga,https://www.realestate.com.au/property-house-vic-donnybrook-143346484,Unchanged
,"69 Brossard Road, Mickleham",,3,2,1,,,Rashna Luitel,https://www.realestate.com.au/property-house-vic-mickleham-145453944,Unchanged
,"7 Eulinga Street, Mickleham",,4,2,2,Inspection Sat 25 Jan 12:30 pm,262m²,Raghad Misho,https://www.realestate.com.au/property-house-vic-mickleham-147017188,Unchanged
,"35 Winterfell road, Donnybrook",,4,2,2,,,Shubham Banger,https://www.realestate.com.au/property-house-vic-donnybrook-146536724,Unchanged
AUCTION | $630K-$660K,"6 Linden Close, Meadow Heights",,3,2,4,Inspection tomorrow 5:00 pm,690m²,Alex Briggs,https://www.realestate.com.au/property-house-vic-meadow+heights-147016864,Deleted
"$609,000","40 Rochford Drive, Donnybrook",,4,2,2,Inspection Sat 25 Jan 1:15 pm,315m²,Damien Crivelli,https://www.realestate.com.au/property-house-vic-donnybrook-147016552,Deleted
"$539,000","6 Hawkesbury Drive, Donnybrook",,3,2,2,Inspection Sat 25 Jan 2:00 pm,,Damien Crivelli,https://www.realestate.com.au/property-house-vic-donnybrook-147016544,Unchanged
"$550,000 - $600,000","7 Neon Street, Kalkallo",,3,2,1,,,Jack Esho,https://www.realestate.com.au/property-house-vic-kalkallo-145705040,Unchanged
"$500,000-$550,000","2A Courtyard Way, Roxburgh Park",,3,2,1,Inspection Sat 25 Jan 10:30 am,175m²,Amin Halabi,https://www.realestate.com.au/property-house-vic-roxburgh+park-146239052,Deleted
,"12 The Burchett, Wollert",,3,2,1,,,Jag Kang,https://www.realestate.com.au/property-house-vic-wollert-145836864,Unchanged
$509K - $549K /36 Latchford Dr Mickleham,"Address available on request, Mickleham",,3,2,1,,,Pardeep Kumar,https://www.realestate.com.au/property-house-vic-mickleham-145573164,Unchanged
"$580,000-$620,000","9 Rostron Way, Roxburgh Park",,3,2,1,Inspection Sat 25 Jan 10:00 am,,Amin Khoder,https://www.realestate.com.au/property-house-vic-roxburgh+park-147015372,Unchanged
"ASKING PRICE $575,000","7 Lion Chase, Craigieburn",,3,2,1,Inspection tomorrow 6:00 pm,262m²,Ricky Singh,https://www.realestate.com.au/property-house-vic-craigieburn-146386332,Unchanged
"$590,000 - $620,000","129 Huntington Drive, Craigieburn",,4,2,2,,,Trish Orrico,https://www.realestate.com.au/property-house-vic-craigieburn-146895168,Deleted
,"Address available on request, Kalkallo",,4,2,2,,,Aayush Sharma,https://www.realestate.com.au/property-house-vic-kalkallo-143204444,Unchanged
,"6 Aniseed Street, Mickleham",,4,2,2,,,Ali Al Saffar,https://www.realestate.com.au/property-house-vic-mickleham-146754368,Unchanged
Auction | $490k - $530k,"17/195 Johnstone Street, Westmeadows",,3,2,1,Inspection Sat 25 Jan 10:00 am,175m²,Dom Zampaglione,https://www.realestate.com.au/property-house-vic-westmeadows-147013980,Unchanged
"$590,000 - $620,000","12 Green Hill Place, Craigieburn",,3,2,2,Inspection Sat 25 Jan 11:00 am,,Trish Orrico,https://www.realestate.com.au/property-house-vic-craigieburn-146531804,Deleted
"$560,000 - $590,000","16 Amfissa Street, Wollert",,3,2,1,Inspection Sat 25 Jan 11:30 am,,Kiranvir Buttar,https://www.realestate.com.au/property-house-vic-wollert-146384400,Unchanged
,"8 Bracegirdle Drive, Mickleham",,4,2,2,Inspection tomorrow 6:00 pm,,Sahib Singh,https://www.realestate.com.au/property-house-vic-mickleham-146846852,Unchanged
,"21 Bloodwood Street, Kalkallo",,4,3,2,Inspection tomorrow 6:00 pm,,Abeer Al-hatab,https://www.realestate.com.au/property-house-vic-kalkallo-146944128,Unchanged
,"5 Aniseed Street, Mickleham",,4,2,2,,,Moe Al-mnahi,https://www.realestate.com.au/property-house-vic-mickleham-146837992,Unchanged
,"37 Mealie Avenue, Mickleham",,4,2,2,Inspection tomorrow 5:00 pm,,Hitendra Jodawat,https://www.realestate.com.au/property-house-vic-mickleham-146738176,Unchanged
,"6 Bonnyview Road, Craigieburn",,4,2,2,Inspection Sat 25 Jan 1:00 pm,,Admon Paules,https://www.realestate.com.au/property-house-vic-craigieburn-146748168,Unchanged
,"15 Cream Road, Donnybrook",,4,2,2,Inspection tomorrow 7:00 pm,,Sahib Singh,https://www.realestate.com.au/property-house-vic-donnybrook-146748716,Unchanged
,"28 Caspian Drive, Craigieburn",,4,2,2,Inspection tomorrow 6:00 pm,,Ryan Gaire,https://www.realestate.com.au/property-house-vic-craigieburn-146766120,Unchanged
,"25 Columbus Road, Kalkallo",,3,2,1,Inspection Sat 25 Jan 2:00 pm,,Sahib Singh,https://www.realestate.com.au/property-house-vic-kalkallo-146841376,Unchanged
"$640,000-$655,000","5 Ginger Crescent, Mickleham",,4,2,2,Inspection Sat 25 Jan 12:00 pm,350m²,James Farrugia,https://www.realestate.com.au/property-house-vic-mickleham-146530296,Unchanged
