"City of Darebin, Households renting social housing, 2021, Enumerated,Percentage of: Total households",
"SA1","Number","Percent (%)","Households",
"20602111001","7","3.6%","197",
"20602111002","13","6.9%","189",
"20602111003","0","0.0%","204",
"20602111004","0","0.0%","121",
"20602111005","0","0.0%","105",
"20602111006","0","0.0%","187",
"20602111007","0","0.0%","228",
"20602111008","3","1.3%","238",
"20602111010","4","1.4%","292",
"20602111011","0","0.0%","136",
"20602111012","0","0.0%","163",
"20602111013","0","0.0%","236",
"20602111014","0","0.0%","182",
"20602111015","5","1.9%","270",
"20602111016","5","3.5%","144",
"20602111017","0","0.0%","117",
"20602111018","12","5.1%","237",
"20602111019","9","3.0%","301",
"20602111022","3","1.6%","189",
"20602111201","18","6.0%","299",
"20602111202","6","2.8%","215",
"20602111203","8","4.5%","179",
"20602111204","0","0.0%","146",
"20602111205","13","4.7%","277",
"20602111206","6","3.4%","179",
"20602111207","0","0.0%","216",
"20602111208","0","0.0%","153",
"20602111209","8","2.9%","272",
"20602111210","4","1.8%","223",
"20602111211","5","2.8%","180",
"20602111212","9","3.5%","258",
"20602111213","10","4.4%","227",
"20602111214","7","3.1%","226",
"20602111215","7","4.7%","148",
"20602111216","15","6.9%","217",
"20602111217","0","0.0%","151",
"20602111218","0","0.0%","126",
"20602111219","0","0.0%","241",
"20602111220","0","0.0%","229",
"20602111221","6","3.1%","196",
"20602111222","3","2.3%","129",
"20602111223","0","0.0%","176",
"20602111224","14","7.2%","194",
"20602111225","24","10.0%","239",
"20602111226","0","0.0%","189",
"20602111227","0","0.0%","153",
"20602111228","0","0.0%","179",
"20602111229","0","0.0%","205",
"20602111230","0","0.0%","233",
"20602111231","11","9.1%","121",
"20602111232","3","1.6%","183",
"20602111233","0","0.0%","171",
"20602111234","0","0.0%","226",
"20602111235","12","4.3%","277",
"20602111236","0","0.0%","110",
"20602111237","0","0.0%","156",
"20602111238","10","6.2%","160",
"20602111239","18","8.5%","211",
"20602111240","41","28.3%","145",
"20602111241","0","0.0%","126",
"20602111242","5","2.7%","188",
"20602149901","93","54.4%","171",
"20602149902","0","0.0%","141",
"20602149903","0","0.0%","201",
"20602149904","0","0.0%","117",
"20602149905","38","14.8%","256",
"20602149906","0","0.0%","140",
"20602149907","6","4.3%","141",
"20602149908","4","2.0%","203",
"20602149909","4","1.7%","237",
"20602149910","0","0.0%","132",
"20602149911","0","0.0%","173",
"20602149912","20","14.2%","141",
"20602149913","3","1.4%","215",
"20602149914","0","0.0%","154",
"20602149915","15","9.7%","154",
"20602149916","0","0.0%","172",
"20602149917","0","0.0%","146",
"20602149918","3","1.7%","173",
"20602149919","0","0.0%","252",
"20602149920","0","0.0%","219",
"20602149921","0","0.0%","267",
"20602149922","51","22.5%","227",
"20602149923","0","0.0%","96",
"20602149924","0","0.0%","108",
"20602149925","3","2.5%","118",
