"SA1","Number","Percent (%)","Households",
"20601110601","0","0.0%","280",
"20601110605","0","0.0%","191",
"20601110606","6","4.0%","151",
"20601110608","0","0.0%","302",
"20601110609","0","0.0%","371",
"20601110610","0","0.0%","280",
"20601110611","0","0.0%","188",
"20601110612","3","1.3%","235",
"20601110613","3","1.6%","193",
"20601110614","9","2.9%","307",
"20601110615","10","5.9%","170",
"20601110616","0","0.0%","495",
"20601110617","27","12.0%","225",
"20601110618","0","0.0%","135",
"20601110619","0","0.0%","139",
"20601110620","0","0.0%","152",
"20601110621","23","7.9%","290",
"20601110622","11","5.8%","189",
"20601110623","0","0.0%","199",
"20601110624","0","0.0%","364",
"20601110625","3","1.6%","186",
"20601110626","0","0.0%","166",
"20601110627","0","0.0%","268",
"20601110628","3","0.8%","380",
"20601110629","0","0.0%","120",
"20601110630","0","0.0%","292",
"20601110701","0","0.0%","213",
"20601110702","0","0.0%","177",
"20601110703","0","0.0%","230",
"20601110704","0","0.0%","154",
"20601110705","9","4.3%","208",
"20601110706","0","0.0%","247",
"20601110707","0","0.0%","230",
"20601110708","0","0.0%","150",
"20601110710","3","2.1%","146",
"20601110712","11","6.0%","184",
"20601110713","8","3.5%","228",
"20601110714","3","1.5%","195",
"20601110715","33","16.8%","197",
"20601110716","8","2.8%","288",
"20601110717","21","12.2%","172",
"20601110718","0","0.0%","210",
"20601110719","10","5.7%","176",
"20601110720","6","2.2%","275",
"20601110721","12","5.2%","230",
"20601110722","11","13.6%","81",
"20601110723","8","5.7%","141",
"20601110724","0","0.0%","169",
"20601110725","0","0.0%","176",
"20601110726","0","0.0%","158",
"20601110727","7","4.3%","163",
"20601110728","11","6.7%","163",
"20601110729","0","0.0%","135",
"20601110730","0","0.0%","144",
"20601110731","0","0.0%","234",
"20601110732","3","1.4%","218",
"20601110733","13","7.6%","170",
"20601110734","12","4.3%","278",
"20601110735","0","0.0%","297",
"20601110736","18","8.6%","209",
"20601110901","0","0.0%","227",
"20601110902","0","0.0%","164",
"20601110903","0","0.0%","127",
"20601110904","0","0.0%","162",
"20601110905","0","0.0%","116",
"20601110906","0","0.0%","154",
"20601110907","7","4.0%","173",
"20601110908","0","0.0%","121",
"20601110909","5","2.6%","191",
"20601110910","0","0.0%","126",
"20601110911","0","0.0%","200",
"20601110912","0","0.0%","145",
"20601110913","0","0.0%","179",
"20601110914","0","0.0%","111",
"20601110915","0","0.0%","122",
"20601110916","0","0.0%","130",
"20601110917","0","0.0%","120",
"20601110918","0","0.0%","189",
"20601110919","0","0.0%","246",
"20601110920","0","0.0%","143",
"20601110921","0","0.0%","203",
"20601110922","0","0.0%","183",
"20601110923","0","0.0%","162",
"20601110924","0","0.0%","116",
"20601149501","7","2.6%","269",
"20601149502","8","2.8%","282",
"20601149503","4","2.2%","183",
"20601149504","0","0.0%","143",
"20601149505","0","0.0%","37",
"20601149506","0","0.0%","117",
"20601149507","0","0.0%","234",
"20601149508","0","0.0%","273",
"20601149509","0","0.0%","133",
"20601149510","0","0.0%","154",
"20601149511","0","0.0%","126",
"20601149512","7","4.9%","142",
"20601149513","0","0.0%","145",
"20601149514","6","2.3%","260",
"20601149515","7","2.9%","245",
"20601149516","0","0.0%","121",
"20601149517","0","0.0%","91",
"20601149518","5","5.7%","88",
"20601149519","0","0.0%","190",
"20601149520","0","0.0%","178",
"20601149521","0","0.0%","175",
"20601149522","3","1.5%","199",
"20601149523","0","0.0%","151",
"20601149524","0","0.0%","217",
"20601149525","0","0.0%","285",
"20601149526","0","0.0%","193",
"20601149527","3","1.5%","204",
"20601149528","10","6.2%","160",
"20601149529","0","0.0%","239",
"20601149530","0","0.0%","148",
"20601149531","3","1.7%","178",
"20601149532","0","0.0%","150",
"20601149601","21","7.9%","266",
"20601149602","0","0.0%","243",
"20601149603","0","0.0%","153",
"20601149604","0","0.0%","307",
"20601149605","11","3.3%","337",
"20601149606","0","0.0%","217",
"20601149607","122","29.0%","421",
"20601149608","0","0.0%","188",
"20601149609","0","0.0%","100",
"20601149610","25","8.3%","302",
"20601149611","0","0.0%","273",
"20601149612","3","1.1%","277",
"20601149613","3","2.2%","134",
"20601149614","4","2.2%","181",
"20601149615","3","1.3%","236",
"20601149616","0","0.0%","186",
"20601149617","0","0.0%","200",
"20601149618","0","0.0%","140",
"20601149619","0","0.0%","169",
"20601149620","3","1.5%","198",
"20601149621","0","0.0%","198",
"20601149622","0","0.0%","280",
"20601149623","0","0.0%","222",
"20601149624","0","0.0%","159",
"20601149625","0","0.0%","236",
"20601149626","0","0.0%","164",
"20601149627","0","0.0%","159",
"20601149628","0","0.0%","200",
"20601149701","0","0.0%","166",
"20601149702","13","6.0%","217",
"20601149703","0","0.0%","107",
"20601149704","0","0.0%","194",
"20601149705","0","0.0%","118",
"20601149706","22","9.7%","227",
"20601149707","4","2.1%","190",
"20601149708","0","0.0%","80",
"20601149709","5","2.2%","232",
"20601149710","0","0.0%","311",
"20601149711","0","0.0%","257",
"20601149712","0","0.0%","154",
"20601149713","0","0.0%","262",
"20601149714","0","0.0%","196",
"20601149715","28","9.7%","288",
"20601149716","6","5.3%","113",
"20601149717","6","4.6%","130",
"20601149718","0","0.0%","136",
"20601149719","35","14.8%","237",
"20601149720","0","0.0%","317",
"20601149721","16","7.0%","228",
"20601149722","6","4.5%","132",
"20601149723","3","1.7%","179",
"20601149724","0","0.0%","228",
"20601149725","24","9.3%","259",
"20601149726","0","0.0%","222",
"20601149801","0","0.0%","115",
"20601149802","0","0.0%","90",
"20601149803","0","0.0%","103",
"20601149804","0","0.0%","68",
"20601149805","0","0.0%","127",
"20601149806","0","0.0%","157",
"20601149807","0","0.0%","192",
"20601149808","0","0.0%","67",
"20601149809","5","3.0%","166",
"20601149810","0","0.0%","113",
"20601149811","0","0.0%","156",
"20601149812","0","0.0%","169",
"20601149813","0","0.0%","201",
"20601149814","0","0.0%","160",
"20601149815","0","0.0%","175",
"20601149816","3","1.5%","194",
"20601149817","0","0.0%","155",
"20601149818","0","0.0%","188",
"20601149819","0","0.0%","175",
"20601149820","0","0.0%","226",
"20601149821","5","3.6%","139",
"20601149822","0","0.0%","224",
"20601149823","4","2.9%","139",
"20601149824","0","0.0%","140",
"20601149825","19","10.2%","187",
"20601149826","0","0.0%","188",
"20601149827","3","2.6%","114",
"20601149828","6","3.5%","170",
"20601149829","0","0.0%","185",
"20601149830","7","5.1%","136",
"20601149831","0","0.0%","140",
"20601149832","13","7.6%","170",
"20601149833","0","0.0%","146",
"20601149834","13","6.5%","201",
"20607114301","0","0.0%","246",
"20607114302","25","18.5%","135",
"21003123601","0","0.0%","235",
