,Price,Address,Property Type,Beds,Baths,Car,Inspection Time,Area,Agent,RE_URL,Suburb
0,"$530,000-$560,000","1 Verdant Drive, Donnybrook",,3,2,2,,,Daniel Di Battista,https://www.realestate.com.au/property-house-vic-donnybrook-147045764,Donnybrook
1,"$590,000 - $649,000","20 Tivoli Way, Mickleham",,4,2,2,Inspection Sat 25 Jan 2:30 pm,262m²,Tim Romeril,https://www.realestate.com.au/property-house-vic-mickleham-146925816,Mickleham
2,,"92 Farm Crescent, Donnybrook",,4,3,2,Inspection Sat 25 Jan 11:00 am,,Waseem Gethya,https://www.realestate.com.au/property-house-vic-donnybrook-146925764,Donnybrook
3,"$640,000 - $680,000","5 Beaconsfield Dr, Mickleham",,4,2,2,,,Jay Singh,https://www.realestate.com.au/property-house-vic-mickleham-144749248,Mickleham
4,,"32 Loudon Circuit, Craigieburn",,3,2,2,,312m²,Robin Dhalla,https://www.realestate.com.au/property-house-vic-craigieburn-147045268,Craigieburn
5,,"31 Thompson Crescent, Roxburgh Park",,5,2,2,Inspection tomorrow 5:30 pm,540m²,Melissa Abela,https://www.realestate.com.au/property-house-vic-roxburgh+park-146925540,Roxburgh Park
6,"$600,000 - $650,000","16 Punchbowl Road, Kalkallo",,4,2,2,Inspection Sat 25 Jan 10:00 am,,Jagjeet Tiwana,https://www.realestate.com.au/property-house-vic-kalkallo-146573484,Kalkallo
7,"$640,000 - $670,000","11 Decumbens Way, Donnybrook",,4,2,2,Inspection Sat 25 Jan 1:00 pm,338m²,Jay Virk,https://www.realestate.com.au/property-house-vic-donnybrook-147044196,Donnybrook
8,,"6 Glideriter Road, Donnybrook",,4,2,2,Inspection Sat 25 Jan 2:00 pm,319m²,Mandeep Gagain,https://www.realestate.com.au/property-house-vic-donnybrook-144745940,Donnybrook
9,"$630,000 - $660,000","9 Onoway Approach, Mickleham",,4,2,2,,375m²,Jessica Kaur,https://www.realestate.com.au/property-house-vic-mickleham-145600428,Mickleham
10,"$650,000 - $690,000","20 Ardsley Circuit, Craigieburn",,4,2,2,Inspection Sat 25 Jan 9:30 am,571m²,Domenic Campisi,https://www.realestate.com.au/property-house-vic-craigieburn-147042240,Craigieburn
11,"ESR: $570,000 - $620,000","875 Edgars Road, Epping",,4,2,2,Inspection Sat 25 Jan 1:00 pm,322m²,Jay Moxon,https://www.realestate.com.au/property-house-vic-epping-147041972,Epping
12,,"7 Zeal Way, Craigieburn",,4,2,2,Inspection Sat 25 Jan 2:30 pm,,Samira Haidary,https://www.realestate.com.au/property-house-vic-craigieburn-146119340,Craigieburn
13,"$640,000 - $680,000","15 Cobungra Grove, Wollert",,5,3,2,Inspection Sat 25 Jan 1:30 pm,,Walter Orlandi,https://www.realestate.com.au/property-house-vic-wollert-145126088,Wollert
14,"Auction Onsite 2nd Feb 1:30 PM $450,000-$490,000","43 Curbridge Drive, Donnybrook",,3,2,2,Inspection tomorrow 6:00 pm,,Vineet Wadehra,https://www.realestate.com.au/property-house-vic-donnybrook-146921992,Donnybrook
15,"$640,000 - $665,000","14 Tungsten Drive, Kalkallo",,4,2,2,Inspection tomorrow 7:00 pm,,Love Sharma,https://www.realestate.com.au/property-house-vic-kalkallo-146921912,Kalkallo
16,"$590,000 - 640,000","11 Cerulean Street, Wollert",,4,3,2,Inspection Sat 25 Jan 2:00 pm,,Samaira Ahuja,https://www.realestate.com.au/property-house-vic-wollert-146921908,Wollert
17,,"20 Mealie Avenue, Mickleham",,4,2,2,,,Ali Alsalemy,https://www.realestate.com.au/property-house-vic-mickleham-146766056,Mickleham
18,"ESR: $620,000 - $680,000","63 Fortress Road, Doreen",,3,2,1,Inspection Sat 25 Jan 10:00 am,,Luke El Moussalli,https://www.realestate.com.au/property-house-vic-doreen-147038480,Doreen
19,,"6 Galileo Place, Greenvale",,4,3,2,Inspection Tue 28 Jan 6:00 pm,,Noora Duqman,https://www.realestate.com.au/property-house-vic-greenvale-146116176,Greenvale
20,,"5 Chilworth Street, Donnybrook",,3,2,1,,,Moe Al-mnahi,https://www.realestate.com.au/property-house-vic-donnybrook-144492440,Donnybrook
21,,"15 Lowline Way, Wollert",,4,3,2,Inspection tomorrow 5:00 pm,,Manish Sharma,https://www.realestate.com.au/property-house-vic-wollert-146907576,Wollert
22,,"2 Azure Road, Wollert",,4,2,2,Inspection Sat 25 Jan 2:30 pm,,Manish Sharma,https://www.realestate.com.au/property-house-vic-wollert-146973256,Wollert
23,,"8 Azure Road, Wollert",,3,2,1,Inspection Sat 25 Jan 2:30 pm,,Manish Sharma,https://www.realestate.com.au/property-house-vic-wollert-146976656,Wollert
24,,"2 Edgedell Avenue, Kalkallo",,4,2,2,Inspection Sat 25 Jan 11:45 am,501m²,Prashant Battu,https://www.realestate.com.au/property-house-vic-kalkallo-146969304,Kalkallo
25,,"32 Valetta Street, Mickleham",,4,2,2,Inspection Sat 25 Jan 12:30 pm,,Prashant Battu,https://www.realestate.com.au/property-house-vic-mickleham-146968856,Mickleham
26,,"30 Valetta Street, Mickleham",,4,2,2,Inspection Sat 25 Jan 12:30 pm,,Prashant Battu,https://www.realestate.com.au/property-house-vic-mickleham-146968524,Mickleham
27,,"11 Hackney Way, Kalkallo",,4,2,2,Inspection Sat 25 Jan 12:00 pm,425m²,Arvin Nagra,https://www.realestate.com.au/property-house-vic-kalkallo-145972396,Kalkallo
28,"$590,000 - $630,000","77 Bridgehaven Drive, Craigieburn",,4,2,2,Inspection Sat 25 Jan 11:00 am,,Ramazan Yavuz,https://www.realestate.com.au/property-house-vic-craigieburn-147035156,Craigieburn
29,,"Address available on request, Donnybrook",,3,2,1,,,Ola Alsalemy,https://www.realestate.com.au/property-house-vic-donnybrook-141361616,Donnybrook
30,,"11 Nasturium Street, Kalkallo",,4,2,2,Inspection tomorrow 7:00 pm,,Arvin Nagra,https://www.realestate.com.au/property-house-vic-kalkallo-146703928,Kalkallo
31,"$545,000-$595,000","11 Melaleuca Drive, Meadow Heights",,3,2,2,Inspection Sat 25 Jan 1:45 pm,550m²,Erhan Kalistu,https://www.realestate.com.au/property-house-vic-meadow+heights-147034348,Meadow Heights
32,"$470,000 to $500,000","20 Fashion Parade, Broadmeadows",,3,2,4,Inspection tomorrow 5:30 pm,610m²,Nick Fernandez,https://www.realestate.com.au/property-house-vic-broadmeadows-146895144,Broadmeadows
33,"$650,000 - $715,000","5 Risdon Chase, Wollert",,4,2,2,Inspection Sat 25 Jan 11:30 am,400m²,Hayden Assaad,https://www.realestate.com.au/property-house-vic-wollert-147034208,Wollert
34,,"37 Times Street, Kalkallo",,4,2,2,Inspection tomorrow 5:15 pm,,Abeer Al-hatab,https://www.realestate.com.au/property-house-vic-kalkallo-146562032,Kalkallo
35,,"30 Skye Walk, Wollert",,3,2,2,Inspection Sat 25 Jan 2:00 pm,,Rashna Luitel,https://www.realestate.com.au/property-house-vic-wollert-146561992,Wollert
36,"$630,000","5 Hallifax Walk, Epping",,3,2,3,,,Bic Nguyen,https://www.realestate.com.au/property-house-vic-epping-146256640,Epping
37,"$599,000 - $649,000","28 Eremaea Road, Craigieburn",,3,2,2,,,Gee Mahna,https://www.realestate.com.au/property-house-vic-craigieburn-144738568,Craigieburn
38,"$635,000 - $655,000","38 Ballina Crescent, Donnybrook",,4,2,2,Inspection tomorrow 5:00 pm,,Love Sharma,https://www.realestate.com.au/property-house-vic-donnybrook-146772360,Donnybrook
39,"$570,000 - $590,000","10 Anglesea Drive, Wollert",,3,2,1,Inspection Sat 25 Jan 1:00 pm,,Sherry Singh,https://www.realestate.com.au/property-house-vic-wollert-146702712,Wollert
40,"$630,000 - $660,000","Address available on request, Mickleham",,4,2,1,,,Karam Virk,https://www.realestate.com.au/property-house-vic-mickleham-144485896,Mickleham
41,"$500,000 - $550,000","217 Windrock Avenue, Craigieburn",,3,2,2,Inspection tomorrow 6:00 pm,,Inas Sora,https://www.realestate.com.au/property-house-vic-craigieburn-144485944,Craigieburn
42,"$600,000 - $640,000","5 Northall Road, Mickleham",,4,2,2,,392m²,Adrian Prestileo,https://www.realestate.com.au/property-house-vic-mickleham-146895148,Mickleham
43,,"13 Xenon Road, Kalkallo",,4,2,1,Inspection Sat 25 Jan 12:00 pm,,Mandeep Gagain,https://www.realestate.com.au/property-house-vic-kalkallo-144735316,Kalkallo
44,,"5A Rocklands Rise, Meadow Heights",,3,2,2,,,Michael Abbas,https://www.realestate.com.au/property-house-vic-meadow+heights-146106260,Meadow Heights
45,,"7 Thyridia Street, Mickleham",,5,3,2,,,Ali Alsalemy,https://www.realestate.com.au/property-house-vic-mickleham-146407840,Mickleham
46,"$600,000 - $650,000","2 Silkwood Lane, Craigieburn",,4,2,2,Inspection tomorrow 5:30 pm,,Kristie Davies,https://www.realestate.com.au/property-house-vic-craigieburn-147030408,Craigieburn
47,,"29 Eastside Boulevard, Donnybrook",,4,2,2,Inspection tomorrow 6:00 pm,350m²,Arvin Nagra,https://www.realestate.com.au/property-house-vic-donnybrook-146699936,Donnybrook
48,"$650,000-$690,000","21 Bonang Drive, Doreen",,3,2,2,,375m²,Aaron Geary,https://www.realestate.com.au/property-house-vic-doreen-146915012,Doreen
49,,"3 Countess Circuit, Wollert",,4,2,2,,313m²,Rishi Railowal,https://www.realestate.com.au/property-house-vic-wollert-146556708,Wollert
50,"$600,000 - $660,000","21 Statesman Avenue, Roxburgh Park",,4,2,2,Inspection Sat 25 Jan 11:30 am,480m²,Tim Romeril,https://www.realestate.com.au/property-house-vic-roxburgh+park-147029560,Roxburgh Park
51,,"12 Molesworth Crescent, Donnybrook",,4,2,2,Inspection Sat 25 Jan 12:45 pm,371m²,Arvin Nagra,https://www.realestate.com.au/property-house-vic-donnybrook-145589060,Donnybrook
