Price,Address,Property Type,Beds,Baths,Car,Inspection Time,Sold Date,Agent,Number of listings
"$640,000 - $670,000","34 Hastings Square, Warragul",House,4,2,2,,,Daniel Sheehan,1-25 of 574 properties
"$600,000-$660,000","18 Paramount Way, Pakenham",House,3,2,2,,,Jess Ostrom,1-25 of 574 properties
"$440,000 - $480,000","24 Luella Lane, Pakenham",House,3,2,1,,,Darsh Naidoo,1-25 of 574 properties
"$640,000 - $680,000","2 Jane Court, Drouin",House,4,2,2,,,Jo Cappola,1-25 of 574 properties
"$639,000","8 Kurrajong Road, Warragul",House,4,2,2,,,Stuart Brock,1-25 of 574 properties
"$650,000 - $715,000","10 Fairlane Court, Cranbourne East",House,3,2,2,,,Mina Saad,1-25 of 574 properties
"$580,000 - $620,000","10 Bohemia Crescent, Pakenham",House,3,2,1,,,Jamie O'Halloran,1-25 of 574 properties
"$575,000 - $595,000","15 Hatfield Drive, Drouin",House,3,2,1,,,Libby Talbot,1-25 of 574 properties
$620 000 - $660 000,"40 Cook Street, Drouin",House,4,2,2,,,Brad Boyde,1-25 of 574 properties
$600K-$660K! Brand New! Premium Built!,"8 Orana Boulevard, Clyde North",House,3,2,2,,,Aseem Jhanji,1-25 of 574 properties
"$545,000 - $595,000","9 Eminence Drive, Cranbourne West",House,3,2,1,,,Chaminda Gunasekara,1-25 of 574 properties
"$645,000 - $660,000","10 Arwon Street, Drouin",House,4,2,2,,,Jo Cappola,1-25 of 574 properties
"$600,000 - $650,000","1 Helena Court, Frankston",House,4,2,1,,,John Walsh,1-25 of 574 properties
"$620,000  - $640,000","5 Kenneth Court, Neerim South",House,4,2,2,,,Sarah Francis,1-25 of 574 properties
"$629,000","2/64 Clifford Street, Warragul",House,3,2,1,,,Phil Gallagher,1-25 of 574 properties
"$595,000 - $650,000","21 Egret Way, Pakenham",House,3,2,2,,,Sam Paynter,1-25 of 574 properties
,"3 Sabot Street, Clyde North",House,3,2,2,,,Dilshan Wijerathna,1-25 of 574 properties
"$575,000 - $625,000","11 Ballast Drive, Warragul",House,4,2,2,,,Dale Atkin,1-25 of 574 properties
"$630,000 - $690,000","26 Barcelona Avenue, Clyde North",House,3,2,2,,,Vikram Dhankhar,1-25 of 574 properties
"$600,000 - $650,000","8 Glory Street, Clyde North",House,3,2,2,,,Nick Kaura,1-25 of 574 properties
Must Sell! $549K-$599K! No Body Corp!,"7 Poplar Lane, Clyde",House,3,2,2,,,Aseem Jhanji,1-25 of 574 properties
"$640,000-$675,000","12 Gloucester Place, Warragul",House,3,2,2,,,Tyler Hogan,1-25 of 574 properties
"$600,000-$650,000","6 Dot Court, Drouin",House,4,2,2,,,Kim Durrand,1-25 of 574 properties
$645 000 - $695 000,"9 Sadleria Street, Drouin",House,4,2,2,,,Brad Boyde,1-25 of 574 properties
"$600,000 - $660,000","101 Bona Vista Rise, Clyde",House,3,2,2,,,Isha Dhillon,26-50 of 574 properties
"$550,000 - $605,000","32 Obrien Parade, Pakenham",House,3,2,2,,,Ron Marshall,26-50 of 574 properties
"$590,000 - $649,000","5 Cassa Blue Circuit, Narre Warren",House,3,2,2,Inspection Thu 19 Dec 12:00 pm,,Luke McCandless,26-50 of 574 properties
"$540,000 - $590,000","10 Haakman Way, Pakenham",House,3,2,2,,,Barry McMurchie and Christine Quarrie,26-50 of 574 properties
$599K - $658K Brand New!,"6  Kamet Street, Clyde",House,4,2,1,,,Madhawa Hewawasam,26-50 of 574 properties
"$580,00 - $630,000","8 Frogmores Street, Pakenham",House,3,2,2,,,Suraj Samaranayake,26-50 of 574 properties
"$600,000 - $660,000","8 Freshman Avenue, Clyde",House,3,2,1,,,Madhawa Hewawasam,26-50 of 574 properties
"$620,000 to $669,000","73 Walker Drive, Drouin",House,4,2,4,,,Candice Hill,26-50 of 574 properties
"$590,000 - $649,000 NEW PRICE!!!","62 Pound Road, Hampton Park",House,3,2,1,,,Rowan Reddy,26-50 of 574 properties
"$590,000 - $649,000","2 Bambury Close, Koo Wee Rup",House,4,2,2,,,Mark Sewell,26-50 of 574 properties
"$530,000 - $580,000","2/341 Rossiter Road, Koo Wee Rup",House,3,2,2,,,Sarah McCallum,26-50 of 574 properties
"$650,000 - $715,000","29 Andante Crescent, Clyde",House,4,2,2,,,Tahnee Morgan,26-50 of 574 properties
"$640,000 - $699,000","159 McGlone Road, Drouin",House,4,2,2,,,Matt Smith,26-50 of 574 properties
$549k - $599k No Body Corp & Brand New,"5  Seve Walk, Clyde North",House,3,2,2,,,Madhawa Hewawasam,26-50 of 574 properties
"$639,000-$699,000","1 Elmsford Crescent, Cranbourne West",House,3,2,2,,,Hardeep Singh,26-50 of 574 properties
"$565,000 - $620,000","44 Meadowbrook Crescent, Warragul",House,4,2,2,,,Chris Hill,26-50 of 574 properties
"$630,000 - $670,000","12 Jessfield Terrace, Cranbourne East",House,4,2,1,,,Shan Dias,26-50 of 574 properties
"$535,000 - $580,000","16 Sutherland Way, Drouin",House,3,2,2,,,Jo Cappola,26-50 of 574 properties
,"62 Gardenia Street, Pakenham",House,3,2,2,,,Amanda Claridge,26-50 of 574 properties
"$630,000 - $693,000","3/2-4 Edinburgh Drive, Beaconsfield",House,3,2,1,,,Candice Hill,26-50 of 574 properties
"$595,000 - $630,000","12 Cherry Tree Lane, Clyde",House,3,2,2,,,Yasantha De Silva,26-50 of 574 properties
"$640,000 - $665,000","15 Unison Drive, Clyde",House,4,2,1,Inspection tomorrow 6:00 pm,,Nick Kaura,26-50 of 574 properties
"$599,000","22 Grange Crescent, Warragul",House,4,2,2,,,Stuart Brock,26-50 of 574 properties
"$640,000 - $680,000","46 Montague Avenue, Drouin",House,4,2,2,,,Sam Visca,51-75 of 574 properties
,"12 Carisbrooke Way, Clyde North",House,4,2,2,,,Sam Singh,51-75 of 574 properties
"$550,000 - $605,000","5 Malcolm Crt, Pakenham",House,3,2,2,,,Amanda Claridge,51-75 of 574 properties
"$650,000 - $670,000","12-14 Parsons Street, Warragul",House,3,2,2,,,Stuart Sheppard,51-75 of 574 properties
"$575,000 - $630,000","49 Viridian Avenue, Officer",House,3,2,1,,,Brad Townsend,51-75 of 574 properties
"$640,000 - $700,000","21 Bundy Court, Frankston North",House,4,2,3,,,Cameron McCullough,51-75 of 574 properties
"$600,000 - $660,000","6 Pennine Circuit, Officer",House,3,2,2,,,Gavin Staindl,51-75 of 574 properties
"$ 600,000 to $ 650,000","14 Bradley Court, Hampton Park",House,3,2,2,,,Rohullah Naim,51-75 of 574 properties
,"11 CRADLE AVENUE, Clyde",House,3,2,2,,,Disha Sachdeva,51-75 of 574 properties
"$570,000 - $600,000","38 Ayesha Rise, Pakenham",House,3,2,3,,,Najeeb Olomi,51-75 of 574 properties
"$600,000 - $660,000","18 Discovery Street, Pakenham",House,3,2,2,,,Gavin Staindl,51-75 of 574 properties
,"57 Fallingwater Drive, Pakenham",House,3,2,2,,,Cooper Sheppard,51-75 of 574 properties
