Price,Address,Property Type,Beds,Baths,Car,Inspection Time,Sold Date,Agent,RE_URL
"$640,000 - $670,000","34 Hastings Square, Warragul",House,4,2,2,,,Daniel Sheehan,https://www.realestate.com.au/property-house-vic-warragul-146046236
"$600,000-$660,000","18 Paramount Way, Pakenham",House,3,2,2,,,Jess Ostrom,https://www.realestate.com.au/property-house-vic-pakenham-146024624
"$440,000 - $480,000","24 Luella Lane, Pakenham",House,3,2,1,,,Darsh Naidoo,https://www.realestate.com.au/property-house-vic-pakenham-146186844
"$640,000 - $680,000","2 Jane Court, Drouin",House,4,2,2,,,Jo Cappola,https://www.realestate.com.au/property-house-vic-drouin-146639388
"$639,000","8 Kurrajong Road, Warragul",House,4,2,2,,,Stuart Brock,https://www.realestate.com.au/property-house-vic-warragul-145410932
"$650,000 - $715,000","10 Fairlane Court, Cranbourne East",House,3,2,2,,,Mina Saad,https://www.realestate.com.au/property-house-vic-cranbourne+east-145535560
"$580,000 - $620,000","10 Bohemia Crescent, Pakenham",House,3,2,1,,,Jamie O'Halloran,https://www.realestate.com.au/property-house-vic-pakenham-146184468
"$575,000 - $595,000","15 Hatfield Drive, Drouin",House,3,2,1,,,Libby Talbot,https://www.realestate.com.au/property-house-vic-drouin-146336616
$620 000 - $660 000,"40 Cook Street, Drouin",House,4,2,2,,,Brad Boyde,https://www.realestate.com.au/property-house-vic-drouin-146182208
$600K-$660K! Brand New! Premium Built!,"8 Orana Boulevard, Clyde North",House,3,2,2,,,Aseem Jhanji,https://www.realestate.com.au/property-house-vic-clyde+north-146636140
"$545,000 - $595,000","9 Eminence Drive, Cranbourne West",House,3,2,1,,,Chaminda Gunasekara,https://www.realestate.com.au/property-house-vic-cranbourne+west-146485560
"$645,000 - $660,000","10 Arwon Street, Drouin",House,4,2,2,,,Jo Cappola,https://www.realestate.com.au/property-house-vic-drouin-146180372
"$600,000 - $650,000","1 Helena Court, Frankston",House,4,2,1,,,John Walsh,https://www.realestate.com.au/property-house-vic-frankston-146179584
"$620,000  - $640,000","5 Kenneth Court, Neerim South",House,4,2,2,,,Sarah Francis,https://www.realestate.com.au/property-house-vic-neerim+south-144669060
"$629,000","2/64 Clifford Street, Warragul",House,3,2,1,,,Phil Gallagher,https://www.realestate.com.au/property-house-vic-warragul-146331152
"$595,000 - $650,000","21 Egret Way, Pakenham",House,3,2,2,,,Sam Paynter,https://www.realestate.com.au/property-house-vic-pakenham-146632224
,"3 Sabot Street, Clyde North",House,3,2,2,,,Dilshan Wijerathna,https://www.realestate.com.au/property-house-vic-clyde+north-145907276
"$575,000 - $625,000","11 Ballast Drive, Warragul",House,4,2,2,,,Dale Atkin,https://www.realestate.com.au/property-house-vic-warragul-146632000
"$630,000 - $690,000","26 Barcelona Avenue, Clyde North",House,3,2,2,,,Vikram Dhankhar,https://www.realestate.com.au/property-house-vic-clyde+north-146327912
"$600,000 - $650,000","8 Glory Street, Clyde North",House,3,2,2,,,Nick Kaura,https://www.realestate.com.au/property-house-vic-clyde+north-145782072
Must Sell! $549K-$599K! No Body Corp!,"7 Poplar Lane, Clyde",House,3,2,2,,,Aseem Jhanji,https://www.realestate.com.au/property-house-vic-clyde-144920628
"$640,000-$675,000","12 Gloucester Place, Warragul",House,3,2,2,,,Tyler Hogan,https://www.realestate.com.au/property-house-vic-warragul-146628612
"$600,000-$650,000","6 Dot Court, Drouin",House,4,2,2,,,Kim Durrand,https://www.realestate.com.au/property-house-vic-drouin-145524400
$645 000 - $695 000,"9 Sadleria Street, Drouin",House,4,2,2,,,Brad Boyde,https://www.realestate.com.au/property-house-vic-drouin-145401060
"$640,000 - $670,000","34 Hastings Square, Warragul",House,4,2,2,,,Daniel Sheehan,https://www.realestate.com.au/property-house-vic-warragul-146046236
"$600,000-$660,000","18 Paramount Way, Pakenham",House,3,2,2,,,Jess Ostrom,https://www.realestate.com.au/property-house-vic-pakenham-146024624
"$440,000 - $480,000","24 Luella Lane, Pakenham",House,3,2,1,,,Darsh Naidoo,https://www.realestate.com.au/property-house-vic-pakenham-146186844
"$640,000 - $680,000","2 Jane Court, Drouin",House,4,2,2,,,Jo Cappola,https://www.realestate.com.au/property-house-vic-drouin-146639388
"$639,000","8 Kurrajong Road, Warragul",House,4,2,2,,,Stuart Brock,https://www.realestate.com.au/property-house-vic-warragul-145410932
"$650,000 - $715,000","10 Fairlane Court, Cranbourne East",House,3,2,2,,,Mina Saad,https://www.realestate.com.au/property-house-vic-cranbourne+east-145535560
"$580,000 - $620,000","10 Bohemia Crescent, Pakenham",House,3,2,1,,,Jamie O'Halloran,https://www.realestate.com.au/property-house-vic-pakenham-146184468
"$575,000 - $595,000","15 Hatfield Drive, Drouin",House,3,2,1,,,Libby Talbot,https://www.realestate.com.au/property-house-vic-drouin-146336616
$620 000 - $660 000,"40 Cook Street, Drouin",House,4,2,2,,,Brad Boyde,https://www.realestate.com.au/property-house-vic-drouin-146182208
$600K-$660K! Brand New! Premium Built!,"8 Orana Boulevard, Clyde North",House,3,2,2,,,Aseem Jhanji,https://www.realestate.com.au/property-house-vic-clyde+north-146636140
"$545,000 - $595,000","9 Eminence Drive, Cranbourne West",House,3,2,1,,,Chaminda Gunasekara,https://www.realestate.com.au/property-house-vic-cranbourne+west-146485560
"$645,000 - $660,000","10 Arwon Street, Drouin",House,4,2,2,,,Jo Cappola,https://www.realestate.com.au/property-house-vic-drouin-146180372
"$600,000 - $650,000","1 Helena Court, Frankston",House,4,2,1,,,John Walsh,https://www.realestate.com.au/property-house-vic-frankston-146179584
"$620,000  - $640,000","5 Kenneth Court, Neerim South",House,4,2,2,,,Sarah Francis,https://www.realestate.com.au/property-house-vic-neerim+south-144669060
"$629,000","2/64 Clifford Street, Warragul",House,3,2,1,,,Phil Gallagher,https://www.realestate.com.au/property-house-vic-warragul-146331152
"$595,000 - $650,000","21 Egret Way, Pakenham",House,3,2,2,,,Sam Paynter,https://www.realestate.com.au/property-house-vic-pakenham-146632224
,"3 Sabot Street, Clyde North",House,3,2,2,,,Dilshan Wijerathna,https://www.realestate.com.au/property-house-vic-clyde+north-145907276
"$575,000 - $625,000","11 Ballast Drive, Warragul",House,4,2,2,,,Dale Atkin,https://www.realestate.com.au/property-house-vic-warragul-146632000
"$630,000 - $690,000","26 Barcelona Avenue, Clyde North",House,3,2,2,,,Vikram Dhankhar,https://www.realestate.com.au/property-house-vic-clyde+north-146327912
"$600,000 - $650,000","8 Glory Street, Clyde North",House,3,2,2,,,Nick Kaura,https://www.realestate.com.au/property-house-vic-clyde+north-145782072
Must Sell! $549K-$599K! No Body Corp!,"7 Poplar Lane, Clyde",House,3,2,2,,,Aseem Jhanji,https://www.realestate.com.au/property-house-vic-clyde-144920628
"$640,000-$675,000","12 Gloucester Place, Warragul",House,3,2,2,,,Tyler Hogan,https://www.realestate.com.au/property-house-vic-warragul-146628612
"$600,000-$650,000","6 Dot Court, Drouin",House,4,2,2,,,Kim Durrand,https://www.realestate.com.au/property-house-vic-drouin-145524400
$645 000 - $695 000,"9 Sadleria Street, Drouin",House,4,2,2,,,Brad Boyde,https://www.realestate.com.au/property-house-vic-drouin-145401060
