Price,Address,Property Type,Beds,Baths,Car,Inspection Time,Area,Agent,RE_URL
,"69 Sandover Drive, Roxburgh Park",,3,2,2,,459m²,Khaled Khaled,https://www.realestate.com.au/property-house-vic-roxburgh+park-145856248
"$580,000 - $600,000","18 Molesworth Crescent, Donnybrook",,4,2,2,Inspection tomorrow 1:00 pm,,Robert Sekrevski,https://www.realestate.com.au/property-house-vic-donnybrook-147193100
PRIVATE SALE | $500K-$550K,"23A Housden Street, Broadmeadows",,3,2,1,Inspection tomorrow 10:45 am,,Marco Sansoe,https://www.realestate.com.au/property-house-vic-broadmeadows-147056648
,"14 Tripani Avenue, Lalor",,3,2,1,Inspection Thu 27 Feb 5:15 pm,,Ryan Di Natale,https://www.realestate.com.au/property-house-vic-lalor-147192384
,"59 Alloca Crescent, Donnybrook",,4,2,2,Inspection tomorrow 12:00 pm,,Raj Singh,https://www.realestate.com.au/property-house-vic-donnybrook-146283192
,"49 Tucholsky Drive, Kalkallo",,4,2,2,Inspection Thu 13 Feb 5:00 pm,,Anwar Kattan,https://www.realestate.com.au/property-house-vic-kalkallo-147188532
,"22 Cockatoo Close, South Morang",,3,2,2,Inspection tomorrow 1:00 pm,,Justin Sciola,https://www.realestate.com.au/property-house-vic-south+morang-147055460
"$490,000 - $530,000","46 Merlin Street, Craigieburn",,3,2,1,,,Alex Melnychuk,https://www.realestate.com.au/property-house-vic-craigieburn-147190264
,"19 Punchbowl Road, Kalkallo",,4,3,1,Inspection tomorrow 12:00 pm,,Bobby Kosuri,https://www.realestate.com.au/property-house-vic-kalkallo-146930808
"PRIVATE SALE | $600,000-$650,000","24 Rhine Drive, Roxburgh Park",,3,2,1,,304m²,Ali Faour,https://www.realestate.com.au/property-house-vic-roxburgh+park-146930620
,"12 Playles Way, Wollert",,4,2,2,,,Param Singh,https://www.realestate.com.au/property-house-vic-wollert-147188704
,"17 Cobb Street, South Morang",,4,3,2,Inspection tomorrow 12:30 pm,367m²,Tony Ong,https://www.realestate.com.au/property-house-vic-south+morang-146929748
,"Address available on request, Donnybrook",,3,2,2,,,Bikram Sidhu,https://www.realestate.com.au/property-house-vic-donnybrook-145850012
"$560,000 - $615,000","12 Susan Court, Campbellfield",,3,2,2,Inspection Tue 11 Feb 6:00 pm,612m²,Jayden Manno,https://www.realestate.com.au/property-house-vic-campbellfield-147187084
"MUST SELL $599,000 $659,000","5 Inkerman Crescent, Mickleham",,4,2,2,Inspection tomorrow 1:45 pm,448m²,Sharpy Batth,https://www.realestate.com.au/property-house-vic-mickleham-142976040
,"85 Rulingia Road, Donnybrook",,3,2,1,Inspection tomorrow 12:30 pm,,Rashna Luitel,https://www.realestate.com.au/property-house-vic-donnybrook-147186788
,"10 Nomad Road, Kalkallo",,4,2,2,Inspection tomorrow 12:15 pm,,Harry Banga,https://www.realestate.com.au/property-house-vic-kalkallo-146450536
,"3 Suffern Street, Donnybrook",,4,2,2,Inspection tomorrow 11:30 am,,Harry Banga,https://www.realestate.com.au/property-house-vic-donnybrook-146649800
Auction | $560k - $590k,"2/25 Birch Avenue, Tullamarine",,3,2,1,Inspection tomorrow 12:00 pm,,Phillip Mercieca,https://www.realestate.com.au/property-house-vic-tullamarine-147186580
"$600,000 - $660,000","110 Arcturus Drive, Kalkallo",,4,2,1,,,Wahid Baqi,https://www.realestate.com.au/property-house-vic-kalkallo-145231356
"$570,000 - $627,000","119 Vantage Boulevard, Craigieburn",,3,2,2,Inspection tomorrow 12:00 pm,,Mazen Enwia,https://www.realestate.com.au/property-house-vic-craigieburn-146126448
"NOW TAKING OFFERS $605,000","6 Tynemouth Way, Donnybrook",,4,2,1,Inspection tomorrow 2:00 pm,263m²,Ali Faour,https://www.realestate.com.au/property-house-vic-donnybrook-146805904
,"55 Haystack Drive, Wollert",,4,2,1,Inspection tomorrow 12:15 pm,,Jas Pannu,https://www.realestate.com.au/property-house-vic-wollert-147185920
"$599,139","Lot 21207 Basalt Street (Katalia Estate), Donnybrook",,3,2,2,,313m²,Craig Payne,https://www.realestate.com.au/property-house-vic-donnybrook-147185648
,"109 Golf View Drive, Craigieburn",,4,2,1,Inspection tomorrow 1:30 pm,,Ricky Singh,https://www.realestate.com.au/property-house-vic-craigieburn-147046448
,"41 Myrtleford Street, Wollert",,3,2,2,Inspection tomorrow 10:00 am,,Petar Djeparoski,https://www.realestate.com.au/property-house-vic-wollert-146886576
,"184 Grevillea Street, Craigieburn",,4,2,2,Inspection tomorrow 11:00 am,,Mohammad Kardigar,https://www.realestate.com.au/property-house-vic-craigieburn-147184336
,"21 Statesman Avenue, Roxburgh Park",,4,2,2,Inspection tomorrow 10:00 am,480m²,Tim Romeril,https://www.realestate.com.au/property-house-vic-roxburgh+park-147029560
"$530,000 - $560,000","1 Verdant Drive, Donnybrook",,3,2,2,Inspection tomorrow 3:00 pm,,Daniel Di Battista,https://www.realestate.com.au/property-house-vic-donnybrook-147045764
"ESR: $635,000 - $660,000","5 Thurles Street, Woodstock",,4,3,2,Inspection tomorrow 12:00 pm,294m²,Sachin Toor,https://www.realestate.com.au/property-house-vic-woodstock-147183876
"$590,000 - $649,000","20 Tivoli Way, Mickleham",,4,2,2,Inspection tomorrow 12:00 pm,262m²,Tim Romeril,https://www.realestate.com.au/property-house-vic-mickleham-146925816
,"92 Farm Crescent, Donnybrook",,4,3,2,Inspection tomorrow 11:00 am,,Waseem Gethya,https://www.realestate.com.au/property-house-vic-donnybrook-146925764
"$640,000 - $680,000","5 Beaconsfield Dr, Mickleham",,4,2,2,,,Jay Singh,https://www.realestate.com.au/property-house-vic-mickleham-144749248
"$550,000 - $595,000","32 Loudon Circuit, Craigieburn",,3,2,2,Inspection tomorrow 10:15 am,312m²,Robin Dhalla,https://www.realestate.com.au/property-house-vic-craigieburn-147045268
"$600,000 - $650,000","16 Punchbowl Road, Kalkallo",,4,2,2,Inspection tomorrow 10:00 am,,Jagjeet Tiwana,https://www.realestate.com.au/property-house-vic-kalkallo-146573484
"$650,000 - $700,000","11 Decumbens Way, Donnybrook",,4,2,2,Inspection tomorrow 1:00 pm,338m²,Jay Virk,https://www.realestate.com.au/property-house-vic-donnybrook-147044196
,"1/86 Daley Street, Glenroy",,3,2,2,Inspection tomorrow 2:00 pm,,Dave Singh,https://www.realestate.com.au/property-house-vic-glenroy-147181820
,"36 Monakeeba Boulevard, Donnybrook",,4,2,2,,,Dave Singh,https://www.realestate.com.au/property-house-vic-donnybrook-147180680
"ESR $620,000 - $650,000","29 Petersfield Way, Donnybrook",,4,2,2,Inspection tomorrow 11:15 am,,Sunny Singh,https://www.realestate.com.au/property-house-vic-donnybrook-147180144
,"6 Glideriter Road, Donnybrook",,4,2,2,,319m²,Mandeep Gagain,https://www.realestate.com.au/property-house-vic-donnybrook-144745940
"$630,000 - $660,000","9 Onoway Approach, Mickleham",,4,2,2,,375m²,Jessica Kaur,https://www.realestate.com.au/property-house-vic-mickleham-145600428
"ESR: $570,000 - $620,000","875 Edgars Road, Epping",,4,2,2,Inspection tomorrow 10:00 am,322m²,Jay Moxon,https://www.realestate.com.au/property-house-vic-epping-147041972
,"7 Zeal Way, Craigieburn",,4,2,2,,,Samira Haidary,https://www.realestate.com.au/property-house-vic-craigieburn-146119340
"$650,000 - $695,000","21 Hemsworth Street, Donnybrook",,4,2,2,Inspection tomorrow 9:30 am,392m²,Matthew Zagami,https://www.realestate.com.au/property-house-vic-donnybrook-147179704
"ESR: $650,000 - $700,000","5 Lauradan Way, Wollert",,4,2,2,Inspection tomorrow 3:00 pm,,Luke El Moussalli,https://www.realestate.com.au/property-house-vic-wollert-147179568
,"36 Monakeeba Boulevard, Woodstock",,4,2,2,,,Dave Singh,https://www.realestate.com.au/property-house-vic-woodstock-147178764
"$600,000 - $660,000","14 Tungsten Drive, Kalkallo",,4,2,2,Inspection tomorrow 12:00 pm,,Love Sharma,https://www.realestate.com.au/property-house-vic-kalkallo-146921912
"ESR: $620,000 - $680,000","63 Fortress Road, Doreen",,3,2,1,Inspection tomorrow 11:30 am,,Luke El Moussalli,https://www.realestate.com.au/property-house-vic-doreen-147038480
,"6 Galileo Place, Greenvale",,4,3,2,Inspection tomorrow 11:30 am,,Noora Duqman,https://www.realestate.com.au/property-house-vic-greenvale-146116176
,"5 Chilworth Street, Donnybrook",,3,2,1,,,Moe Al-mnahi,https://www.realestate.com.au/property-house-vic-donnybrook-144492440
$490k - $520k - Must Be Sold Auct This Sat @ 11am,"7 Vautier Avenue, Mickleham",,3,2,1,Inspection tomorrow 10:30 am,272m²,Kuldeep Patel,https://www.realestate.com.au/property-house-vic-mickleham-146986328
"$460,000 - $490,000","19/38 Mallard Circuit, Craigieburn",,4,2,2,,,Vito Trentadue,https://www.realestate.com.au/property-house-vic-craigieburn-147173560
"$550,000 - $595,000","8 Mittagong Rise, Craigieburn",,3,2,2,Inspection tomorrow 2:45 pm,313m²,Adriano Persichetti,https://www.realestate.com.au/property-house-vic-craigieburn-147172704
,"11 Hackney Way, Kalkallo",,4,2,2,,425m²,Arvin Nagra,https://www.realestate.com.au/property-house-vic-kalkallo-145972396
"$600,000 - $640,000","77 Bridgehaven Drive, Craigieburn",,4,2,2,Inspection tomorrow 1:00 pm,,Ramazan Yavuz,https://www.realestate.com.au/property-house-vic-craigieburn-147035156
,"Address available on request, Donnybrook",,3,2,1,,,Ola Alsalemy,https://www.realestate.com.au/property-house-vic-donnybrook-141361616
,"11 Nasturium Street, Kalkallo",,4,2,2,,,Arvin Nagra,https://www.realestate.com.au/property-house-vic-kalkallo-146703928
"$545,000-$595,000","11 Melaleuca Drive, Meadow Heights",,3,2,2,Inspection tomorrow 9:30 am,550m²,Erhan Kalistu,https://www.realestate.com.au/property-house-vic-meadow+heights-147034348
$551k if eligible for FHOG - $561k,"1010 Rainbow Street, Wollert",,3,2,2,,274m²,Stefan Gigovic,https://www.realestate.com.au/property-house-vic-wollert-147171244
,"41 Landover Road, Wollert",,4,2,2,Inspection tomorrow 12:00 pm,,Admon Paules,https://www.realestate.com.au/property-house-vic-wollert-147171264
$560k if eligible for FHOG - $570k,"462  Frittata Street, Donnybrook",,3,2,2,,263m²,John Tran,https://www.realestate.com.au/property-house-vic-donnybrook-147171076
,"37 Times Street, Kalkallo",,4,2,2,,,Abeer Al-hatab,https://www.realestate.com.au/property-house-vic-kalkallo-146562032
,"30 Skye Walk, Wollert",,3,2,2,Inspection tomorrow 2:00 pm,,Rashna Luitel,https://www.realestate.com.au/property-house-vic-wollert-146561992
"$599,000 - $649,000","28 Eremaea Road, Craigieburn",,3,2,2,,,Gee Mahna,https://www.realestate.com.au/property-house-vic-craigieburn-144738568
"$630,000 - $660,000","Address available on request, Mickleham",,4,2,1,,,Karam Virk,https://www.realestate.com.au/property-house-vic-mickleham-144485896
,"4 Iceberg Drive, Mernda",,3,2,2,Inspection tomorrow 1:30 pm,,Sherry Singh,https://www.realestate.com.au/property-house-vic-mernda-147156748
"$500,000 - $550,000","217 Windrock Avenue, Craigieburn",,3,2,2,Inspection tomorrow 11:30 am,,Inas Sora,https://www.realestate.com.au/property-house-vic-craigieburn-144485944
