Address,Indicative Price,Bed,Bath,Car,Type
"11 Midway Street, Heidelberg West","$588,000",3,1,1,342m²
"18 Midanbury Road, Donnybrook","$650,000 - $680,000",4,2,2,House
"18 Bloomsbury Place, Wollert","AUCTION  $550,000 - $595,000",3,2,1,House
"237 Mahoneys Road, Reservoir",AUCTION Sat 26 Apr 10:15am,3,1,2,534m²
"13 Midway Street, Heidelberg West","$580,000 - $630,000",3,1,1,340m²
"33 Alamein Road, Heidelberg West","$650,000 - $715,000",3,1,1,348m²
"15 McKillop Avenue, Epping","AUCTION $630,000 - $690,000",3,2,2,403m²
"18 Edson Road, Mickleham",$495K-$540K - AUCT THIS SAT @ 10AM - MUST BE SOLD!,3,2,2,262m²
"45 Pinetree Crescent, Lalor","$600,000 -$660,000",3,1,2,House
"10 Swansea Court, Craigieburn","$600,000 - $630,000",3,2,2,531m²
"23A Housden Street, Broadmeadows",PRIVATE SALE | $490K-$535K,3,2,1,House
"8 Emberley Street, Wollert","$565,000 - $620,000",3,2,2,334m²
"1021 Pascoe Vale Road, Jacana","$580,000 - $620,000",3,1,2,643m²
"3 Prosecco Street, Wollert","$590,000 - $610,000",3,2,2,House
"4 Selenium Street, Kalkallo",Brand New Quality House!!!,4,2,2,House
"1/86 Anderson Road, Fawkner","$590,000 - $649,000",3,1,1,House
"47 McKimmies Road, Lalor",AUCTION Sat 5 Apr 10:15am,3,1,4,536m²
"10 Kathryn Avenue, Lalor","$550,000 - $605,000",3,2,1,House
"31 Windermere Parade, Doreen",$580K - $620K - Auction Sat 19th April @ 11am,3,2,2,House
"1669 Sydney Road, Campbellfield","$600,000-$650,000",3,1,1,664m²
"5 Watergum Avenue, Craigieburn","GUIDE $630,000 - $670,000",4,2,2,400m²
"24 Nepean Street, Broadmeadows",AUCTION this SAT @ 10:30am,3,1,1,599m²
"15 Cavender Street, Mernda","ESR: $600,000 - $660,000",3,2,2,301m²
"4 Woodoak Street, South Morang","ESR: $520,000 - $570,000",3,2,1,House
"7 West Street, Ascot Vale","$1,000,000 - $1,100,000",3,1,1,House
"13 Featherpark Way, Craigieburn","$650,000 - $699,000",4,2,2,425m²
"13 Tanzanite Circuit, Craigieburn","$500,000-$550,000",3,2,1,House
"38 Newton Crescent, Lalor","Auction: $550,000 - $600,000",3,2,2,253m²
"16 Nebula Cresent, Mickleham",CONTACT AGENT,3,2,2,262m²
"21 Waterside Boulevard, Wollert",Auction Saturday 12th April 2025 AT 5:15PM,4,2,2,House
"11 Iceberg Drive, Mernda","$540,000 - $570,000",3,2,1,House
"80 Gateshead Street, Craigieburn",(NO BODY CORPORATE),3,2,2,House
"113 Moor Park Drive, Craigieburn","AUCTION $610,000 - $650,000",4,3,4,401m²
"76 Pine Park Drive, Wollert","$610,000-$645,000",3,2,1,House
"14 Tivoli Place, South Morang",Auction Sat 12 Apr 3pm,3,1,2,House
"326 Grimshaw Street, Watsonia North","$640,000 to $680,000",4,1,2,420m²
"2 Bovine Crescent, Donnybrook","$570,000 - $620,000",4,2,1,House
"14 Bracegirdle Drive, Mickleham",Taking offers Now!!,4,2,2,House
"12 Nomad Road, Kalkallo",The Home You  Deserve at a Price You'll Love!,4,2,2,House
"6 Salsola Road, Mickleham","$650,000-$700,000",4,2,2,House
"14 Burrell Way, Mernda",Auction Saturday 12th April at 2pm,4,2,2,450m²
"3 Hedland Court, Craigieburn","$440,000 - $460,000",3,2,1,House
"17A Buick Crescent, Mill Park","$550,000 - $580,000",3,1,2,House
"100 Schotters Road, Mernda","ESR: $595,000-$640,000",4,3,2,House
"1 Bowman Drive, Mill Park",$650K - $699K - Auction Sat 12th April @ 12pm,3,2,4,647m²
"1/27 Buick Crescent, Mill Park",$520K - $570K - Auction Sat 12th April @ 4PM,3,1,2,253.2m²
"74 Springbank Road, Wollert",Contact Agent,3,2,1,House
"28 Sandon Crescent, Donnybrook","$630,000 - $660,000",4,2,2,House
"10 Brunswick Crescent, Craigieburn","$545,000 - $599,500",3,2,1,320m²
"41 Davis Circuit, Wollert",Contact Agent,4,2,2,House
"78 Lloyd Avenue, Reservoir",AUCTION Sat  12 Apr 10:30am,3,1,4,557m²
"4 Kwinana Court, Campbellfield",Contact Agent,3,1,3,House
"40 Gossia Avenue, Craigieburn","$650,000 - $699,000",4,2,2,350m²
"669 Pascoe Vale Road, Glenroy","$620,000 - $680,000",3,1,1,566m²
"27 Telopea Road, Craigieburn","$540,000 - $580,000",3,2,1,House
"45 Moor Park Drive, Craigieburn",AUCTION THIS SATURDAY 5th AT 11AM,3,2,1,House
"3 St Martins Place, South Morang","$640,000 - $690,000",3,2,2,573m²
"8 Conebush Street, Kalkallo",$570k - $610k,4,2,2,350m²
"26 Woolshed Avenue, Mernda","$610,000 to $670,000",3,2,2,466m²
"8 Burrows Place, Craigieburn",Call before it's SOLD !!,3,2,1,House
"51 Girgarre Street, Broadmeadows","$549,000 - $579,000",3,2,5,560m²
"11 Fuller Street, Essendon","$1,800,000-$1,980,000",3,1,2,House
