Address,Indicative Price,Bed,Bath,Car,Type,Land Size
"15 Henry Court, Epping",AUCTION Sat 12 Apr 9:30am,3,2,4,House,540m²
"37 Elvire Road, Craigieburn","$640,000 - $675,000",4,2,2,House,400m²
"14 Cochrane Avenue, Mickleham","$500,000 - $550,000",3,2,2,House,263m²
"12 Ajax Road, Kalkallo","Online Auction: $500,000 - $550,000",3,2,2,,
"6 Bawley Road, Donnybrook",Contact Agent,4,2,2,,
"17 Pythagoras Street, Epping","$500,000 - $550,000",3,2,2,,
"32 Samolus Street, Mickleham","$615,000 - $675,000",4,2,2,House,312m²
"31 Windermere Parade, Doreen",$580K - $620K - Auction Sat 19th April @ 11am,3,2,2,,
"5 Watergum Avenue, Craigieburn","GUIDE $630,000 - $670,000",4,2,2,House,400m²
"37 Rowell Drive, Mernda","$499,000",3,2,2,,
"20 The Burchett, Wollert","ESR: $530,000 - $580,000",4,2,1,House,240m²
"12 Kruger Street, Mernda","$595,000 - $650,000",3,2,2,House,488m²
"5 Northampton Way, Donnybrook","$550,000 - $570,000",3,2,2,,
"16 Fairhill Road, Wollert",ESR: $600k to $650k,4,2,2,,
"24 York Parade, Wollert","$600,000-$650,000",4,2,2,House,304m²
"17 Queensborough Road, Kalkallo",Contact Agent,4,2,2,,
"91 Malmsbury Drive, Meadow Heights","$600,000 - $630,000",4,2,2,House,560m²
"32 Lombard Street, Roxburgh Park",Auction this Saturday @ 10:30am,3,2,4,House,368m²
"4 Woodoak Street, South Morang","ESR: $520,000 - $570,000",3,2,1,,
"16 Nebula Cresent, Mickleham",CONTACT AGENT,3,2,2,,
"10 Kathryn Avenue, Lalor","$550,000 - $605,000",3,2,1,,
"14 Bracegirdle Drive, Mickleham",Taking offers Now!!,4,2,2,,
"90 Brossard Road, Mickleham",Auction Thursday 17th April 2025 AT 6:00PM,3,2,1,,
"9 Molesworth Crescent, Donnybrook","$640,000-$680,000",4,2,2,House,293m²
"47 Tucholsky Drive, Kalkallo",LUXURY | PRIME LOCATION,4,2,2,,
"7 Prosecco Street, Wollert","$590,000 - $610,000",3,2,2,,
"28 Flourish Circuit, Greenvale","AUCTION | 540,000 - 580,000",4,2,2,,
"31 Sommeville Drive, Roxburgh Park",AUCTION $650k - $700k,4,2,2,House,373m²
"9 Bali Place, Lalor",$590k - $640k - Auction This Saturday @ 11AM,3,2,2,House,537m²
"12 Angora Crescent, Doreen","ESR: $600,000 - $650,000",3,2,1,House,350m²
"48 Gyrfalcon Way, Doreen","ESR: $560,000 - $610,000",3,2,1,,
"51 Carver Circuit, Wollert","$520,000 - $570,000 Auction Saturday 12/4 @ 11am",3,2,2,House,305m²
