Price,Address,Property Type,Beds,Baths,Car,Inspection Time,Area,Agent,RE_URL
,"35 Fitzpatrick Circuit, Kalkallo",,,,,,,Mandeep Gagain,https://www.realestate.com.au/property-house-vic-kalkallo-145300068
,"9 Carignan street, Wollert",,,,,,,Jayant Poonia,https://www.realestate.com.au/property-house-vic-wollert-146357480
,"8 Callantina Road, Mickleham",,,,,Inspection tomorrow 5:45 pm,,Harry Banga,https://www.realestate.com.au/property-house-vic-mickleham-147790900
,"22 Falconer Drive, Mickleham",,,,,,,Asmita Kandel,https://www.realestate.com.au/property-house-vic-mickleham-143563792
"$610,000 - $650,000","31 Viola Street, Donnybrook",,,,,,,Karam Virk,https://www.realestate.com.au/property-house-vic-donnybrook-145917528
,"24 Ambrosia Close, Epping",,,,,,,Bimal Karki,https://www.realestate.com.au/property-house-vic-epping-146757388
,"16 Charnwood Street, Mickleham",,,,,Inspection Thu 17 Apr 5:30 pm,,Jatin Mehta,https://www.realestate.com.au/property-house-vic-mickleham-147789748
"$580,000 - $630,000","110 Arcturus Drive, Kalkallo",,,,,,,Ehab Chmaisse,https://www.realestate.com.au/property-house-vic-kalkallo-147114900
,"11 Laurina Street, Kalkallo",,,,,Inspection Sat 19 Apr 11:00 am,,Phong Ho,https://www.realestate.com.au/property-house-vic-kalkallo-147657696
"$650,000 - $699,000","6 Prospect Road, Wollert",,,,,Inspection tomorrow 5:45 pm,,Love Sharma,https://www.realestate.com.au/property-house-vic-wollert-147657384
,"14 Coventry Crescent, Mill Park",,,,,Inspection Sat 19 Apr 10:30 am,,Ron Singh,https://www.realestate.com.au/property-house-vic-mill+park-147657376
ESR: $675-$720k,"16 Aintree Street, Craigieburn",,,,,,,Nada Hanna,https://www.realestate.com.au/property-house-vic-craigieburn-147788732
,"43 Ginger Crescent, Mickleham",,,,,Inspection Thu 17 Apr 5:00 pm,,Jatin Mehta,https://www.realestate.com.au/property-house-vic-mickleham-147657088
"PRIVATE SALE - $610,000 - $630,000","7 Trift Street, Craigieburn",,,,,,,Daniel Di Battista,https://www.realestate.com.au/property-house-vic-craigieburn-147257896
"$585,000 - $640,000","7 Lowline Way, Wollert",,,,,,,Michael Assaad,https://www.realestate.com.au/property-house-vic-wollert-147257844
$560k - $590k,"8 Conebush Street, Kalkallo",,,,,Inspection tomorrow 5:30 pm,,Jatin Mehta,https://www.realestate.com.au/property-house-vic-kalkallo-147656932
,"1-7/50 Plush Circuit, Epping",,,,,Inspection Sat 19 Apr 11:00 am,,Mickey (Sween) Arya,https://www.realestate.com.au/property-house-vic-epping-147257500
,"26 Lovicks Road, Wollert",,,,,Inspection tomorrow 6:30 pm,,Love Sharma,https://www.realestate.com.au/property-house-vic-wollert-147656360
,"115 Moor Park Drive, Craigieburn",,,,,,,Tim Romeril,https://www.realestate.com.au/property-house-vic-craigieburn-147656040
,"Address available on request, Wollert",,,,,,,Kawal Gill,https://www.realestate.com.au/property-house-vic-wollert-144296852
,"171 Antares Parade, Kalkallo",,,,,Inspection Thu 17 Apr 6:30 pm,,Bimal Karki,https://www.realestate.com.au/property-house-vic-kalkallo-147786504
,"17 Clapham Avenue, Wollert",,,,,,,Robbie Sandhu,https://www.realestate.com.au/property-house-vic-wollert-147655488
$680k - $720k,"8 Bayonne Way, Wollert",,,,,,,Manish Sharma,https://www.realestate.com.au/property-house-vic-wollert-146054412
,"12 Marchmont Rise, Craigieburn",,,,,,,Sarwan Sandhu,https://www.realestate.com.au/property-house-vic-craigieburn-145171120
"$610,000 to $670,000","26 Woolshed Avenue, Mernda",,,,,,,Gavin Rodrigues,https://www.realestate.com.au/property-house-vic-mernda-147655324
