Address,Indicative Price,Bed,Bath,Car,Type,Land Size,URL
"7 Dolerite Place, Epping","$570,000 - $599,000",3,2,2,,,https://www.realestate.com.au/property-house-vic-epping-147604928
"14 Merrill Drive, Epping","$640,000 - $680,000",4,2,4,House,572m²,https://www.realestate.com.au/property-house-vic-epping-147680424
"13 Elaine Close, Epping",Auction 26th April,3,2,3,House,565m²,https://www.realestate.com.au/property-house-vic-epping-147646860
"9 Everett Court, Thomastown",AUCTION Sat 10 May 2:00pm,3,2,2,House,623m²,https://www.realestate.com.au/property-house-vic-thomastown-147758092
"12 Westwood Drive, Mill Park",$645K - $695K - Auction Sat 26th April @ 12PM,4,2,2,,,https://www.realestate.com.au/property-house-vic-mill+park-147683460
"47 Veronica Crescent, Mill Park",$750K - $814K - Auction Sat 26th April @ 1PM,4,2,2,House,625m²,https://www.realestate.com.au/property-house-vic-mill+park-147682924
"6 Zurzolo Terrace, Epping","ESR: $700,000 - $750,000",3,2,2,House,536m²,https://www.realestate.com.au/property-house-vic-epping-147681264
"4 Woodoak Street, South Morang","ESR: $520,000 - $570,000",3,2,1,,,https://www.realestate.com.au/property-house-vic-south+morang-147681260
"24 Gratwick Street, Lalor","$720,000 - $780,000",5,2,2,,,https://www.realestate.com.au/property-house-vic-lalor-147795552
"10 Kathryn Avenue, Lalor","$550,000 - $605,000",3,2,1,,,https://www.realestate.com.au/property-house-vic-lalor-147645316
"5 Honeysuckle Court, Mill Park","ESR: $620,000 - $680,000",3,2,2,House,622m²,https://www.realestate.com.au/property-house-vic-mill+park-147743724
"59 Dargile Circuit, Epping","$720,000",4,2,2,,,https://www.realestate.com.au/property-house-vic-epping-147332420
"14 Coventry Crescent, Mill Park",Auction 26th April,4,2,2,House,662m²,https://www.realestate.com.au/property-house-vic-mill+park-147657376
"71 Dargile Circuit,, Epping",Auction Saturday 3rd May At 1:00PM,4,2,1,House,240m²,https://www.realestate.com.au/property-house-vic-epping-147731212
"12 Burnett Court, Mill Park",$660K - $720K - Auction Sat 26th April @ 10AM,3,2,2,House,603.3m²,https://www.realestate.com.au/property-house-vic-mill+park-147683400
"8 Veronica Crescent, Mill Park","ESR: $700,000 - $770,000",3,2,2,House,576m²,https://www.realestate.com.au/property-house-vic-mill+park-147798480
