Price,Address,Property Type,Beds,Baths,Car,Inspection Time,Area,Agent,RE_URL
"$620,000 - $680,000","82 Ceduna Road, Clyde North",,,,,,,Tom Lehpamer,https://www.realestate.com.au/property-house-vic-clyde+north-147348956
"$590,000 - $649,000","4 Grevillea Street, Doveton",,,,,,,Mohammad Shafai,https://www.realestate.com.au/property-house-vic-doveton-146597784
"$580,000 - $638,000","14 Reeves Court, Hampton Park",,,,,Inspection Sat 15 Mar 1:00 pm,,Nicola Parreira,https://www.realestate.com.au/property-house-vic-hampton+park-147492760
"$490,000 - $530,000","122 Station Street, Pakenham",,,,,Inspection Sat 15 Mar 12:00 pm,,Aaron Westney,https://www.realestate.com.au/property-house-vic-pakenham-147491668
"$ 595,000 to $ 630,000","6 Masterton Place, Cranbourne East",,,,,,,Leon D'Penha,https://www.realestate.com.au/property-house-vic-cranbourne+east-146596516
"$634,930","Address available on request, Berwick",,,,,,,Jon Terolli,https://www.realestate.com.au/property-house-vic-berwick-147345660
"$620,000 - $660,000","23 Broadway Street, Berwick",,,,,Inspection Sat 15 Mar 1:00 pm,,Svetlana Bobroff,https://www.realestate.com.au/property-house-vic-berwick-147203892
"$599,900 - FULL TURNKEY INCLUSIONS","Lot 213 Creek Circuit, Pakenham",,,,,,,Jon Terolli,https://www.realestate.com.au/property-house-vic-pakenham-146028392
"$640,000 - $670,000","108 Lineham Drive, Cranbourne East",,,,,Inspection Sat 15 Mar 12:15 pm,,Jo Leaf,https://www.realestate.com.au/property-house-vic-cranbourne+east-147345052
"$600,000 - $660,000","72 Kosta Boda Boulevard, Pakenham",,,,,,,Mina Saad,https://www.realestate.com.au/property-house-vic-pakenham-147345032
,"17 Tanino Road, Cranbourne West",,,,,,,Ahmed Mahmoud,https://www.realestate.com.au/property-house-vic-cranbourne+west-147203400
"$600,000 - $660,000","26 Bollen Way, Koo Wee Rup",,,,,,,Stephen Marsh,https://www.realestate.com.au/property-house-vic-koo+wee+rup-146831680
"$550,000 - $600,000","11 craigton Court, Cranbourne North",,,,,Inspection Sat 15 Mar 1:00 pm,,Chris Zhang,https://www.realestate.com.au/property-house-vic-cranbourne+north-147487416
"UNDER CONTRACT $590,000 - $625,000","29 Station Street, Pakenham",,,,,,,Callum Donders,https://www.realestate.com.au/property-house-vic-pakenham-147342356
,"42 Chestnut Chase Chase, Pakenham",,,,,Inspection Sat 15 Mar 12:00 pm,,Manit Singh,https://www.realestate.com.au/property-house-vic-pakenham-147486348
"$560,000 - $616,000","7 Landsby Lane, Dandenong",,,,,Inspection Sat 15 Mar 12:30 pm,,E Sha Hat,https://www.realestate.com.au/property-house-vic-dandenong-147342044
,"28 Brookhouse Street, Clyde North",,,,,Inspection Sat 15 Mar 12:00 pm,,Sam Singh,https://www.realestate.com.au/property-house-vic-clyde+north-146829764
"$630,000 - $690,000","1-4/7 Dorothy Street, Doveton",,,,,Inspection Sat 15 Mar 2:00 pm,,Sajad Hassan,https://www.realestate.com.au/property-house-vic-doveton-147486280
"$650,000 - $699,900","15 Nandaly Place, Cranbourne West",,,,,,,Eddie Atahi,https://www.realestate.com.au/property-house-vic-cranbourne+west-147199536
"$590,000 - $640,000","27  Ironstone Street, Cranbourne East",,,,,Inspection Sat 15 Mar 11:00 am,,Waleed Mohmand,https://www.realestate.com.au/property-house-vic-cranbourne+east-147340340
"$650,000 - $695,000","44a John Street, Pakenham",,,,,,,Damien St Louis,https://www.realestate.com.au/property-house-vic-pakenham-145884392
"$650,000 - $700,000","16 Brickwood Street, Clyde",,,,,Inspection Sat 15 Mar 10:00 am,,Param Kaur,https://www.realestate.com.au/property-house-vic-clyde-147482900
,"4 Marquis Court, Pakenham",,,,,,,Tadesse Jarra Berisso,https://www.realestate.com.au/property-house-vic-pakenham-146587896
"$590,000 - $645,000","4A Ti-Tree Drive, Doveton",,,,,Inspection Sat 15 Mar 11:00 am,,Dez Mujcic,https://www.realestate.com.au/property-house-vic-doveton-146587784
,"11 Tartan Drive, Clyde North",,,,,,,Dilshan Wijerathna,https://www.realestate.com.au/property-house-vic-clyde+north-146893812
"$550,000 - $605,000","31 Remedy Drive, Clyde",,,,,,,Tom Lehpamer,https://www.realestate.com.au/property-house-vic-clyde-146893708
"$580,000-$620,000","1 Trendale Lane, Clyde",,,,,,,Hayley Taufa,https://www.realestate.com.au/property-house-vic-clyde-147336008
"$650,000 - $695,000","424 Rix Road, Beaconsfield",,,,,,,Michael Panayi,https://www.realestate.com.au/property-house-vic-beaconsfield-147478348
"$649,000 - $699,000","110 Athletic Circuit, Clyde",,,,,Inspection Sun 16 Mar 1:00 pm,,Mohan Singh,https://www.realestate.com.au/property-house-vic-clyde-147335560
"$650,000 - $700,000","94 Riana Loop, Eumemmerring",,,,,Inspection Sat 15 Mar 10:00 am,,Ming Wang,https://www.realestate.com.au/property-house-vic-eumemmerring-147477804
$590K - $640K!,"1 Sharpe Street, Cranbourne",,,,,Inspection Sat 15 Mar 2:40 pm,,Vas Selvaraj,https://www.realestate.com.au/property-house-vic-cranbourne-147477420
"$600,000 - $660,000","24 Adrian Drive, Pakenham",,,,,,,Ben Duke,https://www.realestate.com.au/property-house-vic-pakenham-147319720
"$595,000 - $650,000","16 Thomas Crescent, Cranbourne",,,,,Inspection Sat 15 Mar 10:00 am,,Paul Ringeri,https://www.realestate.com.au/property-house-vic-cranbourne-147334600
"Price guide $650,000 to $680,000","6 Naples Avenue, Berwick",,,,,,,Lei Asuncion,https://www.realestate.com.au/property-house-vic-berwick-147334172
"$595,000 - $654,500","2 Jardine Court, Pakenham",,,,,,,Damien St Louis,https://www.realestate.com.au/property-house-vic-pakenham-147334148
"$630,000 - $670,000","29 Adrian Drive, Pakenham",,,,,,,Michael Asche,https://www.realestate.com.au/property-house-vic-pakenham-147333640
"$600,000 - $650,000","13 Hanley Court, Pakenham",,,,,Inspection Sat 15 Mar 12:00 pm,,Alistair Boyle,https://www.realestate.com.au/property-house-vic-pakenham-147333556
"$650,000 - $715,000","35 Galveston Road, Clyde",,,,,,,Darsh Naidoo,https://www.realestate.com.au/property-house-vic-clyde-146947080
"$620,000 - $670,000","9 Indra Street, Hampton Park",,,,,,,Khalid Sarwari,https://www.realestate.com.au/property-house-vic-hampton+park-147331872
"$640,000 - $690,000","62 Pinnacle Drive, Pakenham",,,,,Inspection Sat 15 Mar 11:30 am,,Sonny Singh,https://www.realestate.com.au/property-house-vic-pakenham-147472996
,"10 Bauera Road, Officer",,,,,,,Ravi Fernando,https://www.realestate.com.au/property-house-vic-officer-145607828
"$640,000 - $690,000","27 Timberline Parkway, Pakenham",,,,,,,Calvyn Walker,https://www.realestate.com.au/property-house-vic-pakenham-145607660
"$640,000 - $680,000","14 Bronzewing Street, Pakenham",,,,,Inspection Sat 15 Mar 10:00 am,,Amber Gehling,https://www.realestate.com.au/property-house-vic-pakenham-147472404
"$630,000 - $660,000","10 Raydale Avenue, Narre Warren South",,,,,Inspection Sat 15 Mar 10:00 am,,Faye Owen,https://www.realestate.com.au/property-house-vic-narre+warren+south-147470840
"$599,000 - $658,900","4 Cercis Court, Doveton",,,,,,,Habib Sultani,https://www.realestate.com.au/property-house-vic-doveton-146147872
$640K - $669K Must Sell!,"37 Kosciuszko Circuit, Clyde",,,,,,,Madhawa Hewawasam,https://www.realestate.com.au/property-house-vic-clyde-146289904
,"21 Mortdale Lane, Clyde North",,,,,,,Kartik Sangani कार्तिक सांगानी,https://www.realestate.com.au/property-house-vic-clyde+north-146812308
$630K-$660K! Brand New! 10K FHOG!,"10 Jessfield Terrace, Cranbourne East",,,,,Inspection tomorrow 5:00 pm,,Aseem Jhanji,https://www.realestate.com.au/property-house-vic-cranbourne+east-147059552
"$649,000 - $699,000","13 Cottle Drive, Clyde",,,,,,,Nishant Grover,https://www.realestate.com.au/property-house-vic-clyde-146286720
"$640,000-$690,000-East Facing!","59 Patrobas Loop, Cranbourne East",,,,,,,Manpreet Khangura,https://www.realestate.com.au/property-house-vic-cranbourne+east-145489916
"$650,000 - $715,000","29 Pitfield Avenue, Cranbourne East",,,,,,,Jonathan Walker,https://www.realestate.com.au/property-house-vic-cranbourne+east-146434368
"$570,000 to $627,000 MUST SELL","18 Cumberland Chase, Hampton Park",,,,,Inspection Sat 15 Mar 11:00 am,,Khaled Arabzadeh,https://www.realestate.com.au/property-house-vic-hampton+park-140432355
"$590,000 - $649,000","21 Greenhouse Grange, Officer",,,,,Inspection Sat 15 Mar 11:30 am,,Adam Carpenter,https://www.realestate.com.au/property-house-vic-officer-147050280
"$600,000 - $660,000","23A Ti-Tree Drive, Doveton",,,,,Inspection Sat 15 Mar 12:30 pm,,Habib Sultani,https://www.realestate.com.au/property-house-vic-doveton-146126924
"$650,000 - $700,000","133 Eagle Drive, Pakenham",,,,,,,Aaron Westney,https://www.realestate.com.au/property-house-vic-pakenham-147048832
